,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,Harvard University,16,https://collegedunia.com/usa/college/1090-harvard-university-cambridge,13,https://studyabroad.shiksha.com/usa/universities/harvard-university,,,,,,,,,,,12102,Study_Abroad,165000,College,,Study_Abroad-College-HS
1,University of Oxford,6,https://collegedunia.com/uk/college/865-university-of-oxford-oxford,10,https://studyabroad.shiksha.com/uk/universities/university-of-oxford,,,,,,,,,,,12103,Study_Abroad,135000,College,,Study_Abroad-College-HS
2,Stanford University,30,https://collegedunia.com/usa/college/2074-stanford-university-stanford,6,https://studyabroad.shiksha.com/usa/universities/stanford-university,,,40,https://www.collegedekho.com/usa/stanford-university/,,,87,https://leverageedu.com/blog/how-to-get-into-stanford/,,,12104,Study_Abroad,110000,College,,Study_Abroad-College-HS
3,University of Toronto(Mississauga),6,https://collegedunia.com/canada/college/102-university-of-toronto-mississauga-mississauga,11,https://studyabroad.shiksha.com/canada/universities/university-of-toronto,,,,,,,,,,,12105,Study_Abroad,90500,College,,Study_Abroad-College-HS
4,University of Toronto,8,https://collegedunia.com/canada/college/104-university-of-toronto-toronto,4,https://studyabroad.shiksha.com/canada/universities/university-of-toronto,,,72,https://www.collegedekho.com/ae/canada/university-of-toronto/,,,18,https://leverageedu.com/universities/university-of-toronto,71,https://admission.buddy4study.com/study-abroad/university-of-toronto,12106,Study_Abroad,90500,College,,Study_Abroad-College-HS
5,University of Cambridge,12,https://collegedunia.com/uk/college/800-university-of-cambridge-cambridge,8,https://studyabroad.shiksha.com/uk/universities/university-of-cambridge,,,56,https://www.collegedekho.com/united-kingdom/university-of-cambridge/,,,,,,,12107,Study_Abroad,90500,College,,Study_Abroad-College-HS
6,Columbia University,38,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city,7,https://studyabroad.shiksha.com/usa/universities/columbia-university,,,50,https://www.collegedekho.com/usa/columbia-university/,,,,,,,12108,Study_Abroad,60500,College,,Study_Abroad-College-HS
7,University of British Columbia,7,https://collegedunia.com/canada/college/64-the-university-of-british-columbia-vancouver,3,https://studyabroad.shiksha.com/canada/universities/university-of-british-columbia,,,19,https://www.collegedekho.com/canada/the-university-of-british-columbia/,,,47,https://leverageedu.com/blog/university-of-british-columbia-acceptance-rate/,,,12109,Study_Abroad,60500,College,,Study_Abroad-College-HS
8,University of Alberta,5,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton,3,https://studyabroad.shiksha.com/canada/universities/university-of-alberta,,,24,https://www.collegedekho.com/canada/university-of-alberta/,,,16,https://leverageedu.com/universities/university-of-alberta,,,12110,Study_Abroad,49500,College,,Study_Abroad-College-HS
9,Yale University,19,https://collegedunia.com/usa/college/1699-yale-university-new-haven,5,https://studyabroad.shiksha.com/usa/universities/yale-university,,,,,,,88,https://leverageedu.com/blog/study-at-yale/,59,https://admission.buddy4study.com/study-abroad/yale-university,12111,Study_Abroad,49500,College,,Study_Abroad-College-HS
