,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
21,University of Akron,9,https://collegedunia.com/usa/college/887-university-of-akron-akron,,,4,https://studyabroad.shiksha.com/usa/universities/the-university-of-akron,,,,,,,,,,,,,12683,Study_Abroad,880,College,,Study_Abroad-College-LS
22,University of Maine,33,https://collegedunia.com/usa/college/1807-university-of-maine-orono,,,5,https://studyabroad.shiksha.com/usa/universities/university-of-maine,,,,,,,,,,,,,12684,Study_Abroad,880,College,,Study_Abroad-College-LS
23,Loma Linda University,19,https://collegedunia.com/usa/college/1545-loma-linda-university-loma-linda,,,5,https://studyabroad.shiksha.com/usa/universities/loma-linda-university,,,,,,,,,,,,,12685,Study_Abroad,880,College,,Study_Abroad-College-LS
24,Virginia State University,15,https://collegedunia.com/usa/college/1821-virginia-state-university-petersburg,,,5,https://studyabroad.shiksha.com/usa/universities/virginia-state-university,,,31,https://www.collegedekho.com/usa/virginia-state-university/,,,,,,,,,12686,Study_Abroad,880,College,,Study_Abroad-College-LS
25,Purdue University Global,22,https://collegedunia.com/usa/college/1444-purdue-university-global-indianapolis,,,39,https://studyabroad.shiksha.com/usa/universities/purdue-university,,,,,,,,,,,,,12687,Study_Abroad,880,College,,Study_Abroad-College-LS
26,Drew University,20,https://collegedunia.com/usa/college/1581-drew-university-madison,,,6,https://studyabroad.shiksha.com/usa/universities/drew-university,,,18,https://www.collegedekho.com/usa/drew-university/,,,,,,,,,12688,Study_Abroad,880,College,,Study_Abroad-College-LS
27,University of Scranton,11,https://collegedunia.com/usa/college/2020-university-of-scranton-scranton,,,5,https://studyabroad.shiksha.com/usa/universities/university-of-scranton,,,,,,,,,,,,,12689,Study_Abroad,880,College,,Study_Abroad-College-LS
28,New Mexico State University,23,https://collegedunia.com/usa/college/1516-new-mexico-state-university-las-cruces,,,4,https://studyabroad.shiksha.com/usa/universities/new-mexico-state-university,,,,,,,,,,,,,12690,Study_Abroad,880,College,,Study_Abroad-College-LS
29,Yeshiva University,20,https://collegedunia.com/usa/college/1714-yeshiva-university-new-york-city,,,6,https://studyabroad.shiksha.com/usa/universities/yeshiva-university,,,30,https://www.collegedekho.com/usa/yeshiva-university/,,,,,,,,,12691,Study_Abroad,880,College,,Study_Abroad-College-LS
30,California Lutheran University,16,https://collegedunia.com/usa/college/2118-california-lutheran-university-thousand-oaks,,,3,https://studyabroad.shiksha.com/usa/universities/california-lutheran-university,,,31,https://www.collegedekho.com/usa/california-lutheran-university/,,,,,,,,,12692,Study_Abroad,880,College,,Study_Abroad-College-LS
31,Saginaw Valley State University,16,https://collegedunia.com/usa/college/2136-saginaw-valley-state-university-university-center,,,4,https://studyabroad.shiksha.com/usa/universities/saginaw-valley-state-university,,,,,,,,,,,,,12693,Study_Abroad,880,College,,Study_Abroad-College-LS
