,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
16,Carleton University BSc in Physics,10,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-physics-132,,,8,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-applied-physics,,,,,,,,,,,,,,,16304,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
17,Carleton University BSc in Physics,11,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-applied-physics-26,,,6,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-physics,,,,,,,,,,,,,,,16304,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
18,Carleton University BSc in Physics,11,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-applied-physics-26,,,7,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-physics,,,,,,,,,,,,,,,16304,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
19,Carleton University BSc in Physics,11,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-science-bsc-applied-physics-26,,,8,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-science-in-applied-physics,,,,,,,,,,,,,,,16304,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
20,Carleton University BEng in Software Engineering,5,https://collegedunia.com/canada/college/2-carleton-university-ottawa/bachelor-of-engineering-beng-software-engineering-170,,,6,https://studyabroad.shiksha.com/canada/universities/carleton-university/bachelor-of-engineering-in-software-engineering,,,,,,,,,,,,,,,16305,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
21,Concordia University BSc in Biochemistry,8,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-science-bsc-biochemistry-194,,,11,https://studyabroad.shiksha.com/canada/universities/concordia-university/biochemistry-bsc,,,,,,,,,,,,,,,16306,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
22,Concordia University BSc in Biology,8,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-science-bsc-biology-195,,,10,https://studyabroad.shiksha.com/usa/universities/concordia-university-texas/bachelor-of-science-biology,,,,,,,,,,,,,,,16307,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
23,Concordia University BSc in Biology,8,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-science-bsc-biology-195,,,11,https://studyabroad.shiksha.com/usa/universities/concordia-university-texas/bachelor-of-science-biology,,,,,,,,,,,,,,,16307,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
24,Concordia University BSc in Biology,8,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-science-bsc-biology-195,,,12,https://studyabroad.shiksha.com/canada/universities/concordia-university/biology-bsc,,,,,,,,,,,,,,,16307,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
25,Concordia University BEng in Civil Engineering,6,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-engineering-beng-civil-engineering-204,,,5,https://studyabroad.shiksha.com/canada/universities/concordia-university/bachelor-of-engineering-beng-in-civil-engineering,,,41,https://www.collegedekho.com/study-abroad/articles/study-engineering-in-canada/,,,,,,,,,,,16308,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
26,Concordia University BEng in Computer Engineering,6,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-engineering-beng-computer-engineering-214,,,5,https://studyabroad.shiksha.com/canada/universities/concordia-university/bachelor-of-engineering-beng-in-computer-engineering,,,,,,,,,,,,,,,16309,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
27,Concordia University BEng in Electrical Engineering,10,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-engineering-beng-electrical-engineering-226,,,6,https://studyabroad.shiksha.com/canada/universities/concordia-university/bachelor-of-engineering-beng-in-electrical-engineering,,,35,https://www.collegedekho.com/canada/universities-beng-in-electrical-engineering/,,,,,,,,,,,16310,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
28,Concordia University BA in Journalism,10,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-arts-ba-journalism-256,,,13,https://studyabroad.shiksha.com/canada/universities/concordia-university/journalism-ba,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
29,Concordia University BA in Journalism,10,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-arts-ba-journalism-256,,,14,https://studyabroad.shiksha.com/canada/universities/concordia-university/journalism-ba,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
30,Concordia University BA in Journalism,10,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-arts-ba-journalism-256,,,15,https://studyabroad.shiksha.com/usa/universities/concordia-university-chicago/bachelors-in-journalism,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
31,Concordia University BA in Journalism,11,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-arts-ba-journalism-256,,,13,https://studyabroad.shiksha.com/canada/universities/concordia-university/journalism-ba,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
32,Concordia University BA in Journalism,11,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-arts-ba-journalism-256,,,14,https://studyabroad.shiksha.com/canada/universities/concordia-university/journalism-ba,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
