Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
sarkari result,1,TOP SITE,02-12-2021,https://www.sarkariresult.com/,,,,,,,,,,,,,,,30,https://www.fresherslive.com/sarkari-results,,,,,,,5599,Prepp,1500000,Result,,Prepp-C2
education recruitment board,1,TOP SITE,02-12-2021,https://educationrecruitmentboard.com/,,,95,https://prepp.in/news/e-487-punjab-ett-recruitment-2021-apply-for-6635-vacancies-for-elementary-teacher,,,,,,,,,,,,,,,,,,,5629,Prepp,165000,Recruitment,,Prepp-C2
ssc cgl syllabus,1,TOP SITE,02-12-2021,https://www.careerpower.in/ssc-cgl-syllabus.html,,,7,https://prepp.in/ssc-cgl-exam/syllabus,23,https://www.shiksha.com/exams/ssc-cgl-exam-syllabus,12,https://competition.careers360.com/hi/articles/ssc-cgl-syllabus,90,https://www.collegedekho.com/exam/ssc-cgl/syllabus,,,3,https://byjus.com/ssc-cgl-syllabus/,,,15,https://www.embibe.com/exams/ssc-cgl-syllabus/,,,,,5641,Prepp,110000,Syllabus,,Prepp-C2
ias salary,1,TOP SITE,02-12-2021,https://byjus.com/free-ias-prep/ias-salary/,,,7,https://prepp.in/ias-exam-exam/salary,27,https://www.shiksha.com/exams/ias-exam-salary,12,https://competition.careers360.com/articles/ias-salary,29,https://www.collegedekho.com/careers/ias-officer,74,https://career.aglasem.com/upsc-ias-2020-salary/,1,https://byjus.com/free-ias-prep/ias-salary/,,,26,https://www.embibe.com/exams/upsc-ias-salary/,,,,,5644,Prepp,90500,Salary,,Prepp-C2
ias salary,1,byjus.com,02-12-2021,https://byjus.com/free-ias-prep/ias-salary/,,,7,https://prepp.in/ias-exam-exam/salary,27,https://www.shiksha.com/exams/ias-exam-salary,12,https://competition.careers360.com/articles/ias-salary,29,https://www.collegedekho.com/careers/ias-officer,74,https://career.aglasem.com/upsc-ias-2020-salary/,1,https://byjus.com/free-ias-prep/ias-salary/,,,26,https://www.embibe.com/exams/upsc-ias-salary/,,,,,5644,Prepp,90500,Salary,,Prepp-C2
sbi cleark result,1,TOP SITE,02-12-2021,https://hindi.careerindia.com/exam/sbi-clerk-result-2021-004345.html,,,,,,,28,https://www.careers360.com/question-when-sbi-cleark-preliminary-exam-resuli-out,,,4,https://hindi.aglasem.com/sbi-clerk-result-hindi/,,,,,17,https://www.embibe.com/exams/sbi-clerk-result/Hindi,,,,,5647,Prepp,110000,Result,,Prepp-C2
rrb ntpc syllabus,1,TOP SITE,02-12-2021,https://www.careerpower.in/rrb-ntpc-syllabus.html,,,15,https://prepp.in/rrb-ntpc-exam/syllabus,6,https://www.shiksha.com/exams/rrb-ntpc-exam-syllabus,7,https://competition.careers360.com/articles/rrb-ntpc-syllabus,,,84,https://career.aglasem.com/rrb-ntpc-syllabus/,2,https://byjus.com/rrb-ntpc-syllabus/,87,https://www.fresherslive.com/competitive-exams/rrb-ntpc-syllabus-2021-direct-link-to-download-subject-wise-syllabus-pdf-at-rrbcdg-gov-in-04-june-2021-112942,12,https://www.embibe.com/exams/railway-ntpc-syllabus/,,,18,https://exam.buddy4study.com/rrb-ntpc-syllabus,5657,Prepp,60500,Syllabus,,Prepp-C2
ssc chsl syllabus,1,TOP SITE,02-12-2021,https://www.careerpower.in/ssc-chsl-syllabus.html,,,4,https://prepp.in/ssc-chsl-exam/syllabus,14,https://www.shiksha.com/exams/ssc-chsl-exam-syllabus,16,https://competition.careers360.com/articles/ssc-chsl-syllabus,,,51,https://career.aglasem.com/ssc-chsl-syllabus/,9,https://byjus.com/ssc-exams/ssc-chsl-syllabus/,,,8,https://www.embibe.com/exams/ssc-chsl-syllabus/,,,,,5659,Prepp,90500,Syllabus,,Prepp-C2
ntpc syllabus,1,TOP SITE,02-12-2021,https://www.careerpower.in/rrb-ntpc-syllabus.html,,,18,https://prepp.in/rrb-ntpc-exam/syllabus,7,https://www.shiksha.com/exams/rrb-ntpc-exam-syllabus,5,https://competition.careers360.com/articles/rrb-ntpc-syllabus,,,74,https://career.aglasem.com/rrb-ntpc-syllabus/,2,https://byjus.com/rrb-ntpc-syllabus/,,,14,https://www.embibe.com/exams/railway-ntpc-syllabus/,77,https://leverageedu.com/blog/pu/rrb-ntpc-syllabus/,17,https://exam.buddy4study.com/rrb-ntpc-syllabus,5660,Prepp,60500,Syllabus,,Prepp-C2
ibps clerk result,1,TOP SITE,02-12-2021,https://www.careerpower.in/ibps-clerk-result.html,,,24,https://prepp.in/ibps-clerk-exam/results,7,https://www.shiksha.com/exams/ibps-clerk-exam-results,10,https://competition.careers360.com/articles/ibps-clerk-result,13,https://www.collegedekho.com/exam/ibps-clerk/cut-off-results,79,https://career.aglasem.com/ibps-clerk-2018-result/,3,https://byjus.com/bank-exam/ibps-clerk-results/,78,https://www.fresherslive.com/articles/ibps-clerk-result,6,https://www.embibe.com/exams/ibps-clerk-result/,,,58,https://exam.buddy4study.com/ibps-clerk-prelims-result-out,5665,Prepp,60500,Result,,Prepp-C2
