Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
University of Edinburgh,1,TOP SITE,02-12-2021,https://www.ed.ac.uk/,22,https://collegedunia.com/uk/college/810-university-of-edinburgh-edinburgh,5,https://studyabroad.shiksha.com/uk/universities/the-university-of-edinburgh,,,54,https://www.collegedekho.com/united-kingdom/the-university-of-edinburgh/,,,31,https://leverageedu.com/universities/the-university-of-edinburgh,,,12127,Study_Abroad,33100,College,,Study_Abroad-College-HS
University of Manchester,1,TOP SITE,02-12-2021,https://www.manchester.ac.uk/,14,https://collegedunia.com/uk/college/855-university-of-manchester-manchester,4,https://studyabroad.shiksha.com/uk/universities/university-of-manchester,,,36,https://www.collegedekho.com/united-kingdom/university-of-manchester/,,,,,,,12128,Study_Abroad,33100,College,,Study_Abroad-College-HS
New York University,1,TOP SITE,02-12-2021,https://www.nyu.edu/,52,https://collegedunia.com/usa/college/1713-new-york-university-new-york-city,3,https://studyabroad.shiksha.com/usa/universities/new-york-university,,,,,,,,,,,12129,Study_Abroad,33100,College,,Study_Abroad-College-HS
University of Pennsylvania,1,TOP SITE,02-12-2021,https://www.upenn.edu/,36,https://collegedunia.com/usa/college/1822-university-of-pennsylvania-philadelphia,14,https://studyabroad.shiksha.com/usa/universities/university-of-pennsylvania,,,,,,,,,,,12131,Study_Abroad,33100,College,,Study_Abroad-College-HS
University of Calgary,1,TOP SITE,02-12-2021,https://www.ucalgary.ca/,4,https://collegedunia.com/canada/college/10-university-of-calgary-calgary,2,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,,,,,,,,,,,12132,Study_Abroad,33100,College,,Study_Abroad-College-HS
Teesside University,1,TOP SITE,02-12-2021,https://www.tees.ac.uk/,14,https://collegedunia.com/uk/college/856-teesside-university-middlesbrough,2,https://studyabroad.shiksha.com/uk/universities/teesside-university,,,,,,,,,,,12134,Study_Abroad,27100,College,,Study_Abroad-College-HS
University of Southern California,1,TOP SITE,02-12-2021,https://www.usc.edu/,16,https://collegedunia.com/usa/college/1552-university-of-southern-california-los-angeles,3,https://studyabroad.shiksha.com/usa/universities/university-of-southern-california,,,37,https://www.collegedekho.com/usa/university-of-southern-california/,,,,,,,12135,Study_Abroad,27100,College,,Study_Abroad-College-HS
University of Melbourne,1,TOP SITE,02-12-2021,https://www.unimelb.edu.au/,8,https://collegedunia.com/australia/college/609-university-of-melbourne-melbourne,4,https://studyabroad.shiksha.com/australia/universities/the-university-of-melbourne,,,23,https://www.collegedekho.com/australia/the-university-of-melbourne/,,,,,84,https://admission.buddy4study.com/study-abroad/university-of-melbourne,12136,Study_Abroad,27100,College,,Study_Abroad-College-HS
University of Birmingham,1,TOP SITE,02-12-2021,https://www.birmingham.ac.uk/index.aspx,33,https://collegedunia.com/uk/college/793-university-of-birmingham-birmingham,3,https://studyabroad.shiksha.com/uk/universities/university-of-birmingham,,,,,,,,,,,12137,Study_Abroad,27100,College,,Study_Abroad-College-HS
University of Glasgow,1,TOP SITE,02-12-2021,https://www.gla.ac.uk/,19,https://collegedunia.com/uk/college/814-university-of-glasgow-glasgow,2,https://studyabroad.shiksha.com/uk/universities/university-of-glasgow,,,39,https://www.collegedekho.com/united-kingdom/university-of-glasgow/,,,49,https://leverageedu.com/universities/university-of-glasgow,,,12139,Study_Abroad,27100,College,,Study_Abroad-College-HS
Kingston University,1,TOP SITE,02-12-2021,https://www.kingston.ac.uk/,23,https://collegedunia.com/uk/college/822-kingston-university-kingston-upon-thames,3,https://studyabroad.shiksha.com/uk/universities/kingston-university-london,,,40,https://www.collegedekho.com/united-kingdom/kingston-university/,,,,,,,12140,Study_Abroad,27100,College,,Study_Abroad-College-HS
Technical University Berlin,1,TOP SITE,02-12-2021,https://www.tu.berlin/en/,6,https://collegedunia.com/germany/college/633-technical-university-berlin-berlin,2,https://studyabroad.shiksha.com/germany/universities/technical-university-of-berlin,,,38,https://www.collegedekho.com/germany/technical-university-of-berlin/,,,,,,,12142,Study_Abroad,22200,College,,Study_Abroad-College-HS
Technical University Munich,1,TOP SITE,02-12-2021,https://www.tum.de/,8,https://collegedunia.com/germany/college/691-technical-university-munich-munich,3,https://studyabroad.shiksha.com/germany/universities/technical-university-of-munich,,,32,https://www.collegedekho.com/germany/technical-university-of-munich/,,,,,,,12143,Study_Abroad,22200,College,,Study_Abroad-College-HS
University Canada West,1,TOP SITE,02-12-2021,https://www.ucanwest.ca/,3,https://collegedunia.com/canada/college/8-university-canada-west-vancouver,2,https://studyabroad.shiksha.com/canada/universities/university-canada-west-1,,,47,https://www.collegedekho.com/canada/university-canada-west/,,,,,,,12144,Study_Abroad,22200,College,,Study_Abroad-College-HS
Northwest University,1,TOP SITE,02-12-2021,https://www.northwestu.edu/,31,https://collegedunia.com/usa/college/1487-northwest-university-kirkland,,,,,,,,,,,,,12145,Study_Abroad,22200,College,,Study_Abroad-College-HS
Duke University,1,TOP SITE,02-12-2021,https://duke.edu/,59,https://collegedunia.com/usa/college/1259-duke-university-durham,8,https://studyabroad.shiksha.com/usa/universities/duke-university,,,89,https://www.collegedekho.com/usa/duke-university/,,,,,,,12146,Study_Abroad,22200,College,,Study_Abroad-College-HS
Northwestern University,1,TOP SITE,02-12-2021,https://www.northwestern.edu/,49,https://collegedunia.com/usa/college/1287-northwestern-university-evanston,6,https://studyabroad.shiksha.com/usa/universities/northwestern-university,,,70,https://www.collegedekho.com/usa/northwestern-university/,,,,,,,12147,Study_Abroad,22200,College,,Study_Abroad-College-HS
