Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
charles sturt university master of social work,1,TOP SITE,02-12-2021,https://study.csu.edu.au/courses/humanities-social-sciences/master-social-work-professional-qualifying,39,https://collegedunia.com/australia/college/593-australian-catholic-university-brisbane/master-of-social-work-msw-185035,,,,,,,,,,,,,,,,,,,,,16729,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cmu bachelor of computer science,1,TOP SITE,02-12-2021,https://www.cs.cmu.edu/undergraduate-programs,7,https://collegedunia.com/usa/college/1841-carnegie-mellon-university-pittsburgh/master-of-science-msc-computer-science-65267,,,2,https://studyabroad.shiksha.com/usa/universities/carnegie-mellon-university/b-s-in-computer-science,,,,,,,,,,,,,,,,,16731,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cmu master of computational data science,1,TOP SITE,02-12-2021,https://mcds.cs.cmu.edu/,5,https://collegedunia.com/usa/college/1841-carnegie-mellon-university-pittsburgh/master-of-computational-data-science-65418,,,6,https://studyabroad.shiksha.com/usa/universities/carnegie-mellon-university-usa/master-of-computational-data-science-human-centered-data-science-concentration,,,,,,,,,,,,,,,,,16732,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cmu master of computational finance,1,TOP SITE,02-12-2021,https://www.cmu.edu/mscf/,19,https://collegedunia.com/usa/college/1841-carnegie-mellon-university-pittsburgh/master-of-science-msc-computational-finance-56578,,,5,https://studyabroad.shiksha.com/usa/universities/carnegie-mellon-university-usa/master-of-science-in-computational-finance,,,,,,,,,,,,,,,,,16733,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cmu master of computer science,1,TOP SITE,02-12-2021,https://www.cs.cmu.edu/masters-programs,5,https://collegedunia.com/usa/college/1841-carnegie-mellon-university-pittsburgh/master-of-science-msc-computer-science-65267,,,3,https://studyabroad.shiksha.com/usa/universities/carnegie-mellon-university-usa/m-s-in-computer-science,,,,,,,,,,,,,,,,,16734,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cmu master of design,1,TOP SITE,02-12-2021,https://design.cmu.edu/content/master-design,3,https://collegedunia.com/usa/college/1841-carnegie-mellon-university-pittsburgh/master-of-design-mdes-178576,,,6,https://studyabroad.shiksha.com/usa/universities/carnegie-mellon-university-usa/master-of-science-in-computational-design-and-manufacturing,,,,,,,,,,,,,,,,,16735,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cmu master of machine learning,1,TOP SITE,02-12-2021,https://www.ml.cmu.edu/academics/primary-ms-machine-learning-masters.html,3,https://collegedunia.com/usa/college/1841-carnegie-mellon-university-pittsburgh/master-of-science-msc-machine-learning-65311,,,7,https://studyabroad.shiksha.com/usa/universities/carnegie-mellon-university-usa/master-of-science-in-machine-learning,,,,,,,,,,,,,,,,,16738,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cmu master of software engineering,1,TOP SITE,02-12-2021,https://www.ece.cmu.edu/academics/ms-se/index.html,7,https://collegedunia.com/usa/college/1841-carnegie-mellon-university-pittsburgh/master-of-science-ms-software-engineering-178529,,,5,https://studyabroad.shiksha.com/usa/universities/carnegie-mellon-university-usa/m-s-in-software-engineering,,,,,,,,,,,,,58,https://leverageedu.com/blog/hi/software-engineering-in-hindi/,,,16739,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
columbia university master of architecture,1,TOP SITE,02-12-2021,https://www.arch.columbia.edu/programs/1-master-of-architecture,2,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city/master-of-architecture-march-57212,,,6,https://studyabroad.shiksha.com/usa/universities/columbia-university/master-of-architecture-and-m-s-in-historic-preservation,,,,,,,,,,,,,,,,,16740,Study_Abroad,50,Single_Course_Page,,Study_Abroad-Single_Course_Page
columbia university master of business analytics,1,TOP SITE,02-12-2021,https://msba.engineering.columbia.edu/,4,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city/master-of-science-msc-business-analytics-180583,,,5,https://studyabroad.shiksha.com/usa/universities/columbia-university/master-of-science-in-business-analytics,,,,,,,,,,,,,,,,,16741,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
columbia university master of computer science,1,TOP SITE,02-12-2021,https://www.cs.columbia.edu/education/ms/,4,https://collegedunia.com/usa/college/1711-columbia-university-new-york-city/master-of-science-msc-computer-science-57186,,,3,https://studyabroad.shiksha.com/usa/universities/columbia-university/ms-in-computer-science,,,,,,,,,,,,,,,,,16742,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
concordia university master of applied computer science,1,TOP SITE,02-12-2021,https://www.concordia.ca/academics/graduate/computer-science-mcompsci-applied.html,4,https://collegedunia.com/canada/college/3-concordia-university-montreal/master-of-science-msc-applied-computer-sciences-15222,,,2,https://studyabroad.shiksha.com/canada/universities/concordia-university/master-of-applied-computer-science-mapcompsc,,,34,https://www.collegedekho.com/canada/concordia-university/course-fees/,,,,,,,,,,,,,16744,Study_Abroad,40,Single_Course_Page,,Study_Abroad-Single_Course_Page
concordia university master of computer science,1,TOP SITE,02-12-2021,https://www.concordia.ca/academics/graduate/computer-science-mcompsc.html,4,https://collegedunia.com/canada/college/3-concordia-university-montreal/master-of-computer-science-mcs-15223,,,2,https://studyabroad.shiksha.com/canada/universities/concordia-university/master-of-computer-science-mcompsc,,,44,https://www.collegedekho.com/canada/concordia-university/,,,,,,,,,,,,,16745,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
concordia university master of supply chain management,1,TOP SITE,02-12-2021,https://www.concordia.ca/academics/graduate/supply-chain-management.html,5,https://collegedunia.com/canada/college/3-concordia-university-montreal/master-of-supply-chain-management-18076,,,2,https://studyabroad.shiksha.com/canada/universities/concordia-university/master-of-supply-chain-management,,,41,https://www.collegedekho.com/study-abroad/universities-master-of-science-in-supply-chain-management-logistics/,,,,,,,,,17,https://leverageedu.com/blog/masters-in-supply-chain-management-in-canada/,,,16747,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
conestoga college bachelor of computer science,1,TOP SITE,02-12-2021,https://www.conestogac.on.ca/fulltime/bachelor-of-computer-science-honours,6,https://collegedunia.com/canada/college/185-conestoga-college-kitchener/bachelor-of-computer-science-bcs-209030,,,16,https://studyabroad.shiksha.com/canada/universities/conestoga-college/diploma-in-computer-programmer,,,33,https://www.collegedekho.com/canada/universities-computer-science-it/,,,,,,,,,,,,,16748,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
conestoga college bachelor of design,1,TOP SITE,02-12-2021,https://www.conestogac.on.ca/fulltime/bachelor-of-design-honours,7,https://collegedunia.com/canada/college/185-conestoga-college-kitchener/bachelor-of-design-bdes-180337,,,35,https://studyabroad.shiksha.com/canada/universities/conestoga-college,,,45,https://www.collegedekho.com/study-abroad/news/online-study-period-for-pgwp-eligibility-in-canada/,,,,,,,,,39,https://leverageedu.com/blog/design-colleges-in-canada/,,,16749,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
cornell university master of architecture,1,TOP SITE,02-12-2021,https://aap.cornell.edu/academics/architecture/graduate/march,17,https://collegedunia.com/usa/college/1452-cornell-university-ithaca/master-of-architecture-march-59160,,,10,https://studyabroad.shiksha.com/usa/universities/cornell-university/master-of-architecture-professional,,,,,,,,,,,,,,,,,16750,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cornell university master of engineering management,1,TOP SITE,02-12-2021,https://www.engmanagement.cornell.edu/em,13,https://collegedunia.com/usa/college/1452-cornell-university-ithaca/master-of-engineering-meng-engineering-management-59344,,,3,https://studyabroad.shiksha.com/usa/universities/cornell-university/meng-in-engineering-management,,,,,,,,,,,,,49,https://leverageedu.com/blog/ms-in-engineering-management/,,,16752,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
crandall university bachelor of education,1,TOP SITE,02-12-2021,https://www.crandallu.ca/program/education/bachelor-of-education/,3,https://collegedunia.com/canada/college/2780-crandall-university-moncton/bachelor-of-education-bed-196841,,,,,,,23,https://www.collegedekho.com/canada/crandall-university/,,,,,,,,,,,,,16754,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
crandall university master of management,1,TOP SITE,02-12-2021,https://www.crandallu.ca/program/international-academic-programs/master-of-management/,6,https://collegedunia.com/canada/college/2780-crandall-university-moncton,,,39,https://studyabroad.shiksha.com/canada/mim-colleges-dc,,,21,https://www.collegedekho.com/canada/crandall-university/,,,,,,,,,,,,,16755,Study_Abroad,210,Single_Course_Page,,Study_Abroad-Single_Course_Page
cuhk master of accountancy,1,TOP SITE,02-12-2021,https://masters.bschool.cuhk.edu.hk/programmes/macc/,9,https://collegedunia.com/hong-kong/college/721-chinese-university-of-hong-kong-shatin/master-accountancy-143862,,,,,,,,,,,,,,,,,43,https://leverageedu.com/blog/engineering-universities-in-hong-kong/,,,16757,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cuhk master of architecture,1,TOP SITE,02-12-2021,http://www.arch.cuhk.edu.hk/programme/master-of-architecture/,5,https://collegedunia.com/hong-kong/college/721-chinese-university-of-hong-kong-shatin/master-architecture-143864,,,,,,,,,,,,,,,,,,,,,16758,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cuhk master of education,1,TOP SITE,02-12-2021,https://www.gs.cuhk.edu.hk/admissions/programme/education,22,https://collegedunia.com/hong-kong/college/721-chinese-university-of-hong-kong-shatin,,,,,,,,,,,,,,,,,40,https://leverageedu.com/blog/engineering-universities-in-hong-kong/,,,16759,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
cuhk master of finance,1,TOP SITE,02-12-2021,https://masters.bschool.cuhk.edu.hk/programmes/mscfin/,9,https://collegedunia.com/hong-kong/college/721-chinese-university-of-hong-kong-shatin/master-of-science-msc-finance-143970,,,51,https://studyabroad.shiksha.com/hong-kong/universities/the-university-of-hong-kong/master-of-finance,,,,,,,,,,,,,50,https://leverageedu.com/blog/engineering-universities-in-hong-kong/,,,16760,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university bachelor of arts,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-ug-bachelor-of-arts--b-arts,19,https://collegedunia.com/australia/college/612-curtin-university-perth/bachelor-of-arts-ba-139789,,,10,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/bachelor-of-laws-and-bachelor-of-arts,,,,,,,,,,,,,,,24,https://admission.buddy4study.com/course/australia-curtin-university-perth-1291/bachelors-degree-bachelor-of-arts-urban-and-regional-planning-13877,16761,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university bachelor of commerce,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-ug-bachelor-of-commerce--b-comrce,10,https://collegedunia.com/australia/college/612-curtin-university-perth/programs,,,4,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/bachelor-of-commerce,,,,,,,,,,,,,,,,,16762,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university bachelor of education,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-ug-bachelor-of-education-primary-education--b-edpr,29,https://collegedunia.com/australia/college/612-curtin-university-perth/admission,,,9,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/bachelor-of-education-primary-education,,,,,,,,,,,,,,,,,16763,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university bachelor of health science,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-health-sciences--b-hlthsc,13,https://collegedunia.com/australia/college/612-curtin-university-perth/bachelor-of-science-bsc-health-sciences-139895,,,4,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/bachelor-of-science-health-sciences,,,,,,,,,,,,,,,12,https://admission.buddy4study.com/course/australia-curtin-university-perth-1291/bachelors-degree-bachelor-of-science-health-sciences-honours-13912,16764,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university bachelor of psychology,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-ug-bachelor-of-psychology--b-psych,,,,,5,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/bachelor-of-psychology,,,,,,,,,,,,,,,,,16765,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university bachelor of science,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-ug-bachelor-of-science-science--b-scnce,13,https://collegedunia.com/australia/college/612-curtin-university-perth/programs,,,2,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/bachelor-of-science-in-data-science,,,,,,,,,,,,,,,,,16766,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university master of commerce,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-pg-master-of-commerce--mc-comm,15,https://collegedunia.com/australia/college/612-curtin-university-perth/programs,,,2,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/master-of-commerce,,,35,https://www.collegedekho.com/australia/curtin-university-australia/course-fees/,,,,,,,,,,,25,https://admission.buddy4study.com/course/australia-curtin-university-perth-1291/masters-degree-master-of-taxation-14043,16767,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university master of computer science,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-pg-computer-science-major-msc-science--mjrp-cmscm,2,https://collegedunia.com/australia/college/612-curtin-university-perth/master-of-science-msc-computer-science-140003,,,3,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/master-of-science-in-computer-science,,,42,https://www.collegedekho.com/australia/curtin-university-australia/course-fees/,,,,,,,,,,,39,https://admission.buddy4study.com/course/australia-curtin-university-perth-1291/masters-degree-master-of-science-science-14142,16768,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university master of finance,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-pg-master-of-finance--mc-finan,6,https://collegedunia.com/australia/college/612-curtin-university-perth/master-of-finance-mfin-182568,,,2,https://studyabroad.shiksha.com/australia/universities/curtin-university/master-of-finance,,,,,,,,,,,,,,,,,16769,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university master of management,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-pg-master-of-management--mc-mbaglo,7,https://collegedunia.com/australia/college/612-curtin-university-perth/master-of-management-mmgmt-139963,,,2,https://studyabroad.shiksha.com/australia/universities/curtin-university/master-of-management,,,,,,,,,,,,,,,,,16770,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
curtin university master of predictive analytics,1,TOP SITE,02-12-2021,https://study.curtin.edu.au/offering/course-pg-master-of-predictive-analytics--mc-predan,8,https://collegedunia.com/australia/college/612-curtin-university-perth/master-of-predictive-analytics-139949,,,6,https://studyabroad.shiksha.com/australia/universities/curtin-university-australia/master-of-predictive-analytics,,,,,,,,,,,,,,,13,https://admission.buddy4study.com/course/australia-curtin-university-perth-1291/post-graduate-diploma-graduate-certificate-in-predictive-analytics-14085,16771,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
dalhousie university bachelor of computer science,1,TOP SITE,02-12-2021,https://www.dal.ca/academics/programs/undergraduate/compsci.html,3,https://collegedunia.com/canada/college/22-dalhousie-university-halifax/bachelor-of-computer-science-bcs-2299,,,2,https://studyabroad.shiksha.com/canada/universities/dalhousie-university/bachelor-of-computer-science,,,24,https://www.collegedekho.com/canada/dalhousie-university/,,,,,,,,,,,,,16773,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
