city_id,city,New York,Los Angeles,Chicago,Houston,Phoenix
5221,Elkins Park,152.132,4365.479,1224.329,2521.421,3773.801
8362,Provo,3524.664,1037.659,2275.825,2306.108,996.097
6378,Jersey City,6.836,4486.393,1268.234,2615.49,3874.111
6765,Lexington,1132.647,3477.197,603.924,1592.309,2885.486
7611,New Britain,174.326,4639.943,1421.784,2790.266,4067.725
4514,Chester,176.095,4368.434,1227.285,2463.241,3776.756
8743,San Rafael,4665.738,630.056,3416.899,3114.361,1224.84
4736,Cookeville,1297.468,3352.833,755.772,1381.428,2761.123
9804,Weatherford,2185.38,2287.118,1129.843,784.829,1695.426
9934,Westminster,2858.412,1638.122,1609.574,1668.561,1324.102
3548,Albuquerque,3206.845,1266.522,2151.309,1422.059,674.812
4887,Danbury,110.068,4563.366,1345.206,2734.265,3991.15
7965,Oswego,462.339,4318.693,1100.534,2623.256,3782.215
7904,Olympia,4511.974,25.561,3263.135,2497.794,608.273
6071,Hialeah,2049.589,4392.043,2216.898,1904.721,3794.763
8983,Slippery Rock,585.953,3926.004,707.845,2194.83,3353.788
8705,Salisbury,0,0,0,0,0
6511,Kingston,162.165,4551.902,1333.745,2736.397,3979.689
5925,Hamden,136.496,4620.39,1402.23,2750.668,4048.174
8399,Raleigh,4566.463,1808.8,3295.481,3773.018,2301.436
6370,Jefferson City,1733.111,2853.025,633.206,1269.287,2218.512
9479,Troy,1026.943,3693.947,477.763,2130.958,3250.557
6235,Huntington,935.82,3668.793,716.054,1795.789,3077.101
6828,Livingston,3428.268,1803.536,2157.286,2726.175,1761.975
4940,Deerfield,1316.844,3258.587,45.861,1785.974,2843.62
3565,Aliso Viejo,4502.551,80.292,3253.713,2467.261,590.721
9581,Valparaiso,1214.478,3303.755,90.652,1742.943,2860.36
9599,Vermillion,2161.387,2532.463,912.549,1618.768,2172.799
5701,Georgetown,4564.451,1810.505,3293.468,3771.005,2299.423
4142,Bridgewater,349.877,4825.032,1563.065,2941.785,4263.685
7720,Normal,0,0,0,0,0
8873,Seward,0,0,0,0,0
9174,Stafford,1669.549,4005.941,1830.795,1518.619,3408.66
6555,La Mirada,4493.926,29.063,3245.088,2474.864,585.344
3874,Beckley,844.779,3842.476,886.211,1891.688,3250.765
8648,Sacramento,4532.877,618.361,3284.037,3102.666,1213.146
5831,Great Barrington,217.359,4604.027,1385.868,2819.631,4067.549
5591,Fresno,4692.149,351.919,3443.31,2836.224,946.703
7448,Mount Berry,1396.318,3467.508,1074.082,1265.284,2930.183
6135,Hoboken,7.19,4490.912,1272.753,2618.015,3876.668
7040,Marietta,1403.524,3512.83,1128.069,1302.174,2972.767
5308,Evanston,1302.115,3255.528,31.132,1770.761,2840.56
4059,Boise,0,0,0,0,0
3704,Asheville,1109.868,3696.164,1056.589,1593.119,3104.454
4980,Des Moines,1785.378,2706.993,536.539,1503.928,2253.026
6000,Hastings,0,0,0,0,0
7158,McMinnville,4719.284,1518.591,3470.446,3706.077,2113.375
8369,Pullman,4201.955,1787.904,2930.973,3499.862,1965.858
4608,Cleveland,739.268,3774.39,556.231,2087.208,3246.167
5423,Flagstaff,3721.245,749.84,2665.71,1936.459,232.262
5661,Gambier,863.688,3671.558,507.515,1920.889,3079.848
7869,Odessa,3055.719,1744.97,1972.939,858.506,1147.689
10123,Worcester,286.42,4738.807,1520.648,2899.367,4181.457
9547,Upland,4033.364,1310.192,2784.525,3020.156,1548.574
9777,Waukesha,1439.45,3286.985,168.469,1841.32,2832.719
4297,Cambridge,343.033,4795.42,1577.26,2955.979,4238.069
5478,Fort Collins,2828.062,1732.352,1579.224,1754.226,1418.332
5319,Ewing Township,115.286,4400.31,1259.147,2556.238,3808.587
3658,Appleton,1584.661,3341.991,313.676,1986.146,2887.725
7943,Orlando,1726.354,4037.611,1862.466,1550.289,3440.331
7573,Nashville,1423.191,3224.74,762.812,1253.353,2633.049
7800,Northridge,4524.057,41.287,3275.219,2530.543,641.022
4031,Bloomington,1217.008,3300.464,368.811,1584.847,2708.772
7762,North Manchester,1108.592,3444.339,229.535,1802.872,2904.605
5008,Dobbs Ferry,40.998,4521.876,1303.717,2653.721,3949.661
7065,Mars Hill,1083.322,3669.068,1029.493,1620.266,3077.357
4671,College Park,355.045,4250.884,1123.865,2287.352,3659.174
10048,Winchester,454.328,4194.746,1035.992,2167.127,3603.036
8846,Selinsgrove,290.031,4245.464,1027.305,2421.913,3673.249
5597,Frostburg,505.623,4019.907,902.111,2258.078,3428.216
8725,San Francisco,4672.54,614.536,3423.703,3098.841,1209.321
9492,Tucson,3864.915,779.511,2809.379,1708.648,182.231
3754,Augusta,1247.925,3742.808,1390.387,1499.698,3202.745
7737,North Canton,729.148,3834.695,616.535,2077.144,3236.102
4424,Cedar Falls,1743.915,2881.034,444.037,1677.669,2426.766
9788,Waverly,1764.88,2908.456,465.002,1705.091,2454.19
10077,Winston-Salem,904.652,3925.497,1140.661,1788.227,3333.787
3708,Ashland,4650.459,1090.269,3401.621,3574.574,1685.053
4261,Butte,3438.713,1179.692,2189.875,1988.027,739.054
10122,Wooster,758.606,3762.887,557.705,2012.237,3171.196
6117,Hilo,20.735,4503.041,1284.882,2640.063,3930.826
8312,Portsmouth,426.348,4878.734,1660.575,3037.525,4321.381
4583,Clarks Summit,202.183,4366.319,1148.16,2557.206,3794.107
3926,Belton,37.129,4531.373,1313.214,2656.172,3934.492
8526,Riverside,4436.919,86.794,3188.08,2403.297,513.776
9339,Tampa,1815.938,4065.209,1890.063,1577.886,3467.928
9540,University Center,1144.699,3725.229,509.046,756.163,3281.835
6588,Laie,4539.248,167.087,3290.41,2394.075,599.874
4528,Chicago,1274.012,3243.612,0,1740.951,2820.722
9190,Statesboro,1314.633,3845.266,1493.129,1491.026,3305.203
4935,Decorah,1709.136,3033.09,438.154,1829.724,2578.822
7410,Morehead,1038.669,3571.749,643.557,1698.726,2980.039
10011,Williamstown,0,0,0,0,0
3634,Annandale-On-Hudson,174.477,4567.738,1349.579,2752.23,3995.523
6834,Lock Haven,342.248,4170.897,952.737,2439.723,3598.681
7061,Marquette,1695.299,3669.281,614.081,2351.522,3215.012
5336,Fairfax,394.394,4266.528,1129.805,2238.928,3674.837
7269,Midway,1727.883,2792.974,672.049,1330.314,2128.409
6717,Lebanon,238.763,4250.533,1109.383,2400.462,3658.855
5952,Hanover,431.444,4747.061,1528.901,3044.391,4210.582
7237,Miami Shores,2044.975,4387.429,2212.284,1900.107,3790.149
3799,Bangor,713.268,5165.655,1947.496,3326.215,4608.301
8366,Pueblo,2871.042,1801.794,1720.272,1471.289,1210.102
5016,Doral,2062.585,4405.039,2229.894,1917.717,3807.759
7901,Olivet,1103.129,3518.599,302.416,1987.045,3075.204
6866,Longview,2373.011,2515.678,1419.492,340.249,1918.398
8394,Radford,653.044,3862.641,1022.248,1835.04,3270.95
5799,Grand Junction,3246.897,1247.066,1998.058,1870.583,933.046
6673,Las Vegas,4061.387,433.274,2812.549,2344.328,484.28
5511,Fort Myers,2005.734,4255.005,2079.859,1767.682,3657.724
3758,Aurora,2863.833,1657.51,1614.995,1649.951,1343.49
3866,Beaumont,4345.491,125.933,3211.706,2362.258,472.738
8778,Sarasota,1900.356,4149.627,1974.481,1662.305,3552.346
6799,Lindsborg,2234.281,2358.643,1136.568,1081.133,1677.137
8251,Pocatello,3596.322,1367.992,2347.484,2583.115,1326.43
7437,Moscow,4195.154,1788.162,2924.172,3493.061,1966.116
4580,Clarion,2515.556,2302.715,1493.301,413.075,1705.434
8988,Smithfield,652.686,4324.009,1400.525,2198.389,3732.317
3525,Akron,707.503,3808.578,590.419,2058.744,3217.703
4769,Cortland,342.898,4493.002,1274.843,2797.565,3956.524
