,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
3209,bsc statistics,Courses,4400,Course,,Courses
3210,bsc zoology,Courses,4400,Course,,Courses
3211,phd in computer science,Courses,3600,Course,,Courses
3212,msc it,Courses,14800,Course,,Courses
3213,diploma in electrical and electronics engineering,Courses,720,Course,,Courses
3214,diploma in electrical engineering,Courses,4400,Course,,Courses
3215,bsc horticulture,Courses,4400,Course,,Courses
3216,msc forensic science,Courses,3600,Course,,Courses
3217,Master of Social Work,Courses,4400,Course,,Courses
3218,Bachelor of Architecture,Courses,4400,Course,,Courses
3219,bmm course,Courses,4400,Course,,Courses
3220,BA History,Courses,3600,Course,,Courses
3221,BA Political Science,Courses,4400,Course,,Courses
3222,BA sociology,Courses,3600,Course,,Courses
3223,bachelor of physical education,Courses,2900,Course,,Courses
3224,MA Political Science,Courses,3600,Course,,Courses
3225,masters in psychology,Courses,3600,Course,,Courses
3226,bachelor of management studies,Courses,2900,Course,,Courses
3227,MBA HealthCare Management,Courses,4400,Course,,Courses
3228,pgpm,Courses,2400,Course,,Courses
3229,bsc electronics,Courses,2900,Course,,Courses
3230,bsc food technology,Courses,4400,Course,,Courses
3231,bsc home science,Courses,3600,Course,,Courses
3232,msc statistics,Courses,2900,Course,,Courses
3233,msc zoology,Courses,3600,Course,,Courses
3234,lld,Courses,3600,Course,,Courses
3235,msc agriculture,Courses,3600,Course,,Courses
3236,bsc aviation,Courses,4400,Course,,Courses
3237,mba in digital marketing,Courses,4400,Course,,Courses
3238,diploma in electronics,Courses,880,Course,,Courses
3239,ma sociology,Courses,2900,Course,,Courses
3240,economics honours,Courses,2900,Course,,Courses
3241,Master of Commerce,Courses,3600,Course,,Courses
3242,Bachelor of Design,Courses,3600,Course,,Courses
3243,masters in economics,Courses,2400,Course,,Courses
3244,masters in education,Courses,2400,Course,,Courses
3245,ma history,Courses,2400,Course,,Courses
3246,phd in economics,Courses,2400,Course,,Courses
3247,phd in psychology,Courses,3600,Course,,Courses
3248,PGDBM,Courses,2400,Course,,Courses
3249,be computer science,Courses,4400,Course,,Courses
3250,bums course,Courses,2400,Course,,Courses
3251,dmrd,Courses,1900,Course,,Courses
3252,phd in commerce,Courses,2400,Course,,Courses
3253,bsc biochemistry,Courses,2400,Course,,Courses
3254,bsc botany,Courses,2900,Course,,Courses
3255,bsc economics,Courses,2900,Course,,Courses
3256,msc environmental science,Courses,2900,Course,,Courses
3257,masters in architecture,Courses,2400,Course,,Courses
3258,mfm,Courses,2900,Course,,Courses
3259,bsc animation,Courses,2400,Course,,Courses
3260,Yoga certificate course,Courses,2900,Course,,Courses
3261,doctor of science,Courses,1600,Course,,Courses
3262,mba in supply chain management,Courses,2900,Course,,Courses
3263,diploma in electronics and communication engineering,Courses,720,Course,,Courses
3264,diploma in electronics engineering,Courses,320,Course,,Courses
3265,ma education,Courses,2900,Course,,Courses
3266,mba supply chain management,Courses,2900,Course,,Courses
3267,bsc hotel management,Courses,2400,Course,,Courses
3268,llb degree,Courses,1900,Course,,Courses
3269,yoga certification courses,Courses,2900,Course,,Courses
3270,BA English Literature,Courses,3600,Course,,Courses
3271,master in hindi,Courses,8100,Course,,Courses
3272,phd in english,Courses,2400,Course,,Courses
3273,faculty development programme,Courses,1600,Course,,Courses
3274,bhmct,Courses,1600,Course,,Courses
3275,mba in aviation management,Courses,2400,Course,,Courses
3276,mba in entrepreneurship,Courses,2400,Course,,Courses
3277,mba in event management,Courses,1900,Course,,Courses
3278,masters in international business,Courses,1600,Course,,Courses
3279,bsc geology,Courses,2400,Course,,Courses
3280,msc biochemistry,Courses,2400,Course,,Courses
3281,msc botany,Courses,2400,Course,,Courses
3282,bsc fashion designing,Courses,2900,Course,,Courses
3283,mba in hospital administration,Courses,2400,Course,,Courses
3284,mba in project management,Courses,2400,Course,,Courses
3285,dm cardiology,Courses,1900,Course,,Courses
3286,mba in sports management,Courses,1900,Course,,Courses
3287,diploma in marine engineering,Courses,1000,Course,,Courses
3288,diploma in mechanical engineering,Courses,9900,Course,,Courses
3289,diploma in mechatronics,Courses,590,Course,,Courses
3290,diploma in mining engineering,Courses,390,Course,,Courses
3291,diploma in petroleum engineering,Courses,320,Course,,Courses
3292,post basic bsc nursing,Courses,2900,Course,,Courses
3293,bba finance,Courses,2900,Course,,Courses
3294,diploma in it,Courses,1900,Course,,Courses
3295,msc economics,Courses,1900,Course,,Courses
3296,Master of Design,Courses,1900,Course,,Courses
3297,mba data analytics,Courses,2400,Course,,Courses
3298,Master of Laws,Courses,1900,Course,,Courses
3299,mba in human resource management,Courses,2900,Course,,Courses
3300,MA English Literature,Courses,2400,Course,,Courses
3301,master of philosophy,Courses,1600,Course,,Courses
3302,m phil in english,Courses,720,Course,,Courses
3303,phd in education,Courses,1600,Course,,Courses
3304,bachelor of occupational therapy,Courses,2400,Course,,Courses
3305,mba in banking and finance,Courses,2900,Course,,Courses
3306,bsc genetics,Courses,1900,Course,,Courses
3307,bsc nutrition,Courses,1900,Course,,Courses
3308,bsc physiotherapy,Courses,2900,Course,,Courses
3309,msc food technology,Courses,1900,Course,,Courses
3310,phd in mathematics,Courses,1600,Course,,Courses
3311,phd in physics,Courses,1900,Course,,Courses
3312,phd in law,Courses,1900,Course,,Courses
3313,bba in airport management,Courses,1900,Course,,Courses
3314,bsc interior design,Courses,3600,Course,,Courses
3315,mdes,Courses,1900,Course,,Courses
3316,PGDBF,Courses,1000,Course,,Courses
