id,Keyword,Tag,Search Volume,Category,Exam Tag,new_tag
95,NEET PG counselling,Exams,880,Counselling,NEET,Exams
96,NEET PG cut off,Exams,720,Cut_Off,NEET,Exams
97,NEET PG rank predictor,Exams,1300,Rank_Predictor,NEET,Exams
98,JEE Main,Exams,1500000,Overview,JEE Main,Exams
99,JEE Main Exam Pattern,Exams,2900,Exam_Pattern,JEE Main,Exams
100,JEE Main Syllabus,Exams,22200,Syllabus,JEE Main,Exams
101,JEE Main Registration,Exams,18100,Application,JEE Main,Exams
102,JEE Main Preparation,Exams,1000,Preparation,JEE Main,Exams
103,JEE Main Preparation Tips,Exams,210,Preparation,JEE Main,Exams
104,JEE Main Admit Card,Exams,135000,Admit_Card,JEE Main,Exams
105,JEE Main Application,Exams,5400,Application,JEE Main,Exams
106,JEE Main Exam Dates,Exams,8100,Exam_Dates,JEE Main,Exams
107,JEE Main FAQs,Exams,210,General,JEE Main,Exams
108,JEE Main Latest News,Exams,22200,News,JEE Main,Exams
109,JEE Main Ranks vs Marks,Exams,8100,Comparison,JEE Main,Exams
110,JEE Main Physics Syllabus,Exams,1600,Syllabus,JEE Main,Exams
111,JEE Main Mock Test,Exams,9900,Practice_Papers,JEE Main,Exams
112,JEE Main Eligibility,Exams,2900,Eligibility,JEE Main,Exams
113,JEE Main Form Correction,Exams,590,Form_Correction,JEE Main,Exams
114,JEE Main Notification,Exams,320,Notification,JEE Main,Exams
115,JEE Main Counselling,Exams,8100,Counselling,JEE Main,Exams
116,JEE Main Toppers,Exams,2900,General,JEE Main,Exams
117,JEE Main Rank Predictor,Exams,6600,Rank_Predictor,JEE Main,Exams
118,JEE Main Answer key,Exams,22200,Answer_Key,JEE Main,Exams
119,BITSAT,Exams,110000,Overview,BITSAT,Exams
120,BITSAT Exam,Exams,5400,Overview,BITSAT,Exams
121,BITSAT Application Form,Exams,1900,Application,BITSAT,Exams
122,BITSAT Registration,Exams,1300,Application,BITSAT,Exams
123,BITSAT Eligibility,Exams,720,Eligibility,BITSAT,Exams
124,BITSAT Admit Card,Exams,3600,Admit_Card,BITSAT,Exams
125,BITSAT Exam Dates,Exams,5400,Exam_Dates,BITSAT,Exams
126,BITSAT Exam Centers,Exams,480,Exam_Centers,BITSAT,Exams
127,BITSAT Exam Pattern,Exams,2400,Exam_Pattern,BITSAT,Exams
128,BITSAT Syllabus,Exams,3600,Syllabus,BITSAT,Exams
129,BITSAT Slot Booking,Exams,8100,Slot_Booking,BITSAT,Exams
130,BITSAT Preparation,Exams,390,Preparation,BITSAT,Exams
131,Best books for BITSAT,Exams,320,Books,BITSAT,Exams
132,BITSAT Practice Papers,Exams,140,Practice_Papers,BITSAT,Exams
133,BITSAT Sample Paper,Exams,2900,Practice_Papers,BITSAT,Exams
134,BITSAT Sample Papers,Exams,2900,Practice_Papers,BITSAT,Exams
135,BITSAT Mock Test,Exams,4400,Practice_Papers,BITSAT,Exams
136,BITSAT Result,Exams,1600,Result,BITSAT,Exams
137,BITSAT Counselling,Exams,880,Counselling,BITSAT,Exams
138,BITSAT Cutoff,Exams,8100,Cut_Off,BITSAT,Exams
139,BITSAT Fees,Exams,3600,Fees,BITSAT,Exams
140,BITSAT Previous Year Papers,Exams,5400,Question_Paper,BITSAT,Exams
141,JEE Advanced,Exams,301000,Overview,JEE Advance,Exams
142,JEE Advanced Application Form,Exams,260,Application,JEE Advance,Exams
143,JEE Advanced Registration,Exams,22200,Application,JEE Advance,Exams
144,JEE Advanced Eligibility,Exams,1900,Eligibility,JEE Advance,Exams
145,JEE Advanced Admit Card,Exams,27100,Admit_Card,JEE Advance,Exams
146,JEE Advanced Exam Dates,Exams,590,Exam_Dates,JEE Advance,Exams
147,JEE Advanced Exam Pattern,Exams,1900,Exam_Pattern,JEE Advance,Exams
148,JEE Advanced Syllabus,Exams,9900,Syllabus,JEE Advance,Exams
149,JEE Advanced Preparation,Exams,320,Preparation,JEE Advance,Exams
150,Best books for JEE Advanced,Exams,1600,Books,JEE Advance,Exams
151,JEE Advanced Practice Papers,Exams,140,Practice_Papers,JEE Advance,Exams
152,JEE Advanced Sample Paper,Exams,880,Practice_Papers,JEE Advance,Exams
153,JEE Advanced Sample Papers,Exams,880,Practice_Papers,JEE Advance,Exams
154,JEE Advanced Mock Test,Exams,2400,Practice_Papers,JEE Advance,Exams
155,JEE Advanced Result,Exams,22200,Result,JEE Advance,Exams
156,JEE Advanced Counselling,Exams,390,Counselling,JEE Advance,Exams
157,JEE Advanced Cutoff,Exams,4400,Cut_Off,JEE Advance,Exams
158,MHT CET,Exams,450000,Overview,MHT CET,Exams
159,MHT CET Exam,Exams,1900,Overview,MHT CET,Exams
160,MHT CET Application Form,Exams,2900,Application,MHT CET,Exams
161,MHT CET Registration,Exams,2900,Application,MHT CET,Exams
162,MHT CET Eligibility,Exams,480,Eligibility,MHT CET,Exams
163,MHT CET Admit Card,Exams,27100,Admit_Card,MHT CET,Exams
164,MHT CET Exam Dates,Exams,4400,Exam_Dates,MHT CET,Exams
165,MHT CET Exam Centers,Exams,320,Exam_Centers,MHT CET,Exams
166,MHT CET Exam Pattern,Exams,880,Exam_Pattern,MHT CET,Exams
167,MHT CET Syllabus,Exams,2400,Syllabus,MHT CET,Exams
168,MHT CET Preparation,Exams,210,Preparation,MHT CET,Exams
169,Best books for MHT CET,Exams,480,Books,MHT CET,Exams
170,MHT CET Practice Papers,Exams,260,Practice_Papers,MHT CET,Exams
171,MHT CET Sample Paper,Exams,1000,Practice_Papers,MHT CET,Exams
172,MHT CET Sample Papers,Exams,1000,Practice_Papers,MHT CET,Exams
173,MHT CET Mock Test,Exams,5400,Practice_Papers,MHT CET,Exams
174,MHT CET Result,Exams,27100,Result,MHT CET,Exams
175,MHT CET Counselling,Exams,3600,Counselling,MHT CET,Exams
176,MHT CET Merit List,Exams,480,Merit_List,MHT CET,Exams
177,MHT CET Cutoff,Exams,1900,Cut_Off,MHT CET,Exams
178,TS EAMCET,Exams,450000,Overview,TS EAMCET,Exams
179,TS EAMCET Exam,Exams,260,Overview,TS EAMCET,Exams
180,TS EAMCET Application Form,Exams,590,Application,TS EAMCET,Exams
