,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
1715,victoria university of wellington master of professional accounting,13,https://collegedunia.com/new-zealand/college/765-victoria-university-of-wellington-wellington/master-professional-accounting-148572,,,25,https://studyabroad.shiksha.com/new-zealand/universities/university-of-auckland/master-of-professional-accounting,,,,,,,,,,,,,22,https://admission.buddy4study.com/course/new-zealand-victoria-university-of-wellington-wellington-2077/masters-degree-master-of-professional-accounting-42558,17469,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1716,victoria university of wellington master of professional business analysis,15,https://collegedunia.com/new-zealand/college/765-victoria-university-of-wellington-wellington/master-of-business-mbus-professional-business-analysis-211466,,,2,https://studyabroad.shiksha.com/new-zealand/universities/victoria-university-of-wellington/master-of-professional-business-analysis,,,43,https://www.collegedekho.com/new-zealand/victoria-university-of-wellington/course-fees/,,,,,,,,,,,17470,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1717,virginia tech bachelor of architecture,12,https://collegedunia.com/usa/college/1006-virginia-tech-blacksburg/bachelor-of-architecture-barch-65370,,,29,https://studyabroad.shiksha.com/usa/universities/virginia-polytechnic-institute-and-state-university/bachelor-of-landscape-architecture,,,,,,,,,,,,,,,17471,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1718,virginia tech bachelor of architecture,13,https://collegedunia.com/usa/college/1006-virginia-tech-blacksburg/bachelor-of-architecture-barch-65370,,,29,https://studyabroad.shiksha.com/usa/universities/virginia-polytechnic-institute-and-state-university/bachelor-of-landscape-architecture,,,,,,,,,,,,,,,17471,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1719,virginia tech bachelor of architecture,14,https://collegedunia.com/usa/college/1006-virginia-tech-blacksburg/master-of-architecture-march-132418,,,29,https://studyabroad.shiksha.com/usa/universities/virginia-polytechnic-institute-and-state-university/bachelor-of-landscape-architecture,,,,,,,,,,,,,,,17471,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1720,virginia tech master of architecture,6,https://collegedunia.com/usa/college/1006-virginia-tech-blacksburg/master-of-architecture-march-132418,,,38,https://studyabroad.shiksha.com/usa/universities/virginia-polytechnic-institute-and-state-university,,,,,,,,,,,,,,,17472,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1721,virginia tech master of engineering computer science,19,https://collegedunia.com/usa/college/1006-virginia-tech-blacksburg,,,17,https://studyabroad.shiksha.com/usa/universities/virginia-polytechnic-institute-and-state-university,,,,,,,,,,,,,,,17473,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1722,virginia tech master of information technology,25,https://collegedunia.com/usa/college/1006-virginia-tech-blacksburg,,,23,https://studyabroad.shiksha.com/usa/universities/virginia-polytechnic-institute-and-state-university,,,,,,,,,,,,,,,17474,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1723,wake forest university master of accounting,27,https://collegedunia.com/usa/college/2855-school-of-business-wake-forest-university-winston-salem,,,,,,,,,,,,,,,,,,,17475,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1724,walden university master of healthcare administration,36,https://collegedunia.com/courses/master-of-health-administration-mha,,,,,,,,,,,,,,,,,,,17476,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1725,western sydney university bachelor of accounting,15,https://collegedunia.com/australia/college/622-western-sydney-university-sydney/bachelor-of-accounting-bacc-141325,,,12,https://studyabroad.shiksha.com/australia/universities/western-sydney-university-sydney-city-campus/bachelor-of-accounting,,,,,,,,,,,,,53,https://admission.buddy4study.com/course/australia-western-sydney-university-penrith-1245/bachelors-degree-bachelor-of-information-and-communications-technology-health-information-management-7134,17478,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1726,western sydney university bachelor of business,34,https://collegedunia.com/australia/college/622-western-sydney-university-sydney/master-of-business-administration-mba-141519,,,13,https://studyabroad.shiksha.com/australia/universities/western-sydney-university-sydney-city-campus/bachelor-of-business,,,,,,,,,,,,,66,https://admission.buddy4study.com/course/australia-western-sydney-university-penrith-1245/bachelors-degree-bachelor-of-information-systems-bachelor-of-laws-7621,17480,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
1727,western sydney university bachelor of business,34,https://collegedunia.com/australia/college/622-western-sydney-university-sydney/master-of-business-administration-mba-141519,,,14,https://studyabroad.shiksha.com/australia/universities/western-sydney-university-sydney-city-campus/bachelor-of-business,,,,,,,,,,,,,66,https://admission.buddy4study.com/course/australia-western-sydney-university-penrith-1245/bachelors-degree-bachelor-of-information-systems-bachelor-of-laws-7621,17480,Study_Abroad,10,Single_Course_Page,,Study_Abroad-Single_Course_Page
