Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
cse paper i current events of national and international importance,1,TOP SITE,02-12-2021,https://www.careerlauncher.com/upsc/syllabus/,,,31,https://prepp.in/news/e-492-ias-upsc-cse-prelims-2021-five-year-paper-analysis-2015-to-2019,3,https://www.shiksha.com/exams/ias-exam-syllabus,17,https://competition.careers360.com/articles/ias-syllabus-current-events-of-national-and-international-importance,,,,,7,https://byjus.com/free-ias-prep/upsc-prelims-syllabus/,,,,,53,https://leverageedu.com/blog/hi/upsc-books-in-hindi/,,,5725,Prepp,18100,General,,Prepp-C3
cse paper i current events of national and international importance,1,TOP SITE,02-12-2021,https://www.careerlauncher.com/upsc/syllabus/,,,62,https://prepp.in/ias-exam-exam/eligibility,3,https://www.shiksha.com/exams/ias-exam-syllabus,17,https://competition.careers360.com/articles/ias-syllabus-current-events-of-national-and-international-importance,,,,,7,https://byjus.com/free-ias-prep/upsc-prelims-syllabus/,,,,,53,https://leverageedu.com/blog/hi/upsc-books-in-hindi/,,,5725,Prepp,18100,General,,Prepp-C3
capf,1,TOP SITE,02-12-2021,https://www.upsc.gov.in/,,,8,https://prepp.in/upsc-capf-exam/exam-pattern,7,https://www.shiksha.com/exams/upsc-capf-exam,22,https://competition.careers360.com/articles/capf,,,44,https://career.aglasem.com/upsc-capf/,5,https://byjus.com/upsc-capf/,,,,,,,,,5728,Prepp,40500,General,,Prepp-C3
appost in gdsonline,1,TOP SITE,02-12-2021,https://appost.in/gdsonline/home.aspx,,,62,https://prepp.in/india-post-gds-exam,,,75,https://news.careers360.com/india-post-recruitment-2019-apply-online-at-appost-till-sept-4,,,57,https://news.aglasem.com/tamil-nadu-gds-recruitment-2020-for-3162-posts/,,,,,6,https://www.embibe.com/exams/gramin-dak-sevak-application-form/,,,,,5732,Prepp,40500,General,,Prepp-C3
cet haryana,1,TOP SITE,02-12-2021,https://onetimeregn.haryana.gov.in/,,,18,https://prepp.in/news/e-800-haryana-cet-2021last-date-of-registration-extended,,,62,https://engineering.careers360.com/colleges/list-of-engineering-colleges-in-haryana-accepting-ipu-cet,,,,,,,,,,,,,,,5739,Prepp,135000,General,,Prepp-C3
territorial army,1,TOP SITE,02-12-2021,https://www.jointerritorialarmy.gov.in/,,,12,https://prepp.in/territorial-army-exam,6,https://www.shiksha.com/exams/territorial-army-exam,,,,,,,44,https://byjus.com/free-ias-prep/this-day-in-history-oct09/,,,,,,,,,5741,Prepp,90500,General,,Prepp-C3
ies,1,TOP SITE,02-12-2021,https://www.careerindia.com/upsc/ies-exam-e26.html,35,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,10,https://prepp.in/ies-exam,3,https://www.shiksha.com/exams/ies-exam,,,,,,,54,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,,,,,,,5749,Prepp,33100,General,,Prepp-C3
bsphcl,1,TOP SITE,02-12-2021,http://www.bsphcl.co.in/,,,6,https://prepp.in/bsphcl-exam,15,https://www.shiksha.com/exams/bsphcl-assistant-exam,64,https://www.careers360.com/question-can-we-expect-bsphcl-recruitment-through-gate-2020,,,73,https://career.aglasem.com/bsphcl-je-am/,,,88,https://www.fresherslive.com/bsphcl-bihar-state-power-holding-company-limited-recruitment,,,,,,,5751,Prepp,33100,General,,Prepp-C3
nda form,1,TOP SITE,02-12-2021,https://www.sarvgyan.com/articles/nda-2021-application-form,,,7,https://prepp.in/nda-exam/application-process,3,https://www.shiksha.com/exams/nda-exam-application-form,6,https://competition.careers360.com/articles/nda-application-form,44,https://www.collegedekho.com/exam/upsc-nda-na/how-to-apply,16,https://hindi.aglasem.com/nda-application-form-hindi/,,,,,8,https://www.embibe.com/exams/nda-application-form/,,,,,5753,Prepp,49500,General,,Prepp-C3
ssc apply online,1,TOP SITE,02-12-2021,https://ssc.nic.in/,,,11,https://prepp.in/ssc-cgl-exam/application-process,19,https://www.shiksha.com/exams/ssc-gd-exam,15,https://competition.careers360.com/articles/ssc-cgl-application-form,,,89,https://career.aglasem.com/ssc-cgl-application-form/,14,https://byjus.com/ssc-exams/ssc-online/,8,https://www.fresherslive.com/ssc-staff-selection-commission-recruitment,40,https://www.embibe.com/exams/ssc-chsl-application-form/,,,80,https://exam.buddy4study.com/ssc-cgl-registration,5757,Prepp,40500,General,,Prepp-C3
delhi police constable,1,TOP SITE,02-12-2021,https://www.delhipolice.nic.in/recruitment,,,5,https://prepp.in/delhi-police-exam/delhi-police-2022,,,,,,,35,https://career.aglasem.com/ssc-delhi-police-constable/,,,,,58,https://www.embibe.com/exams/delhi-police-recruitment/,,,,,5759,Prepp,18100,General,,Prepp-C3
rpf,1,TOP SITE,02-12-2021,"https://indianrailways.gov.in/railwayboard/view_section.jsp?id=0,1,304,366,533",,,11,https://prepp.in/rpf-constable-exam,6,https://www.shiksha.com/exams/rpf-constable-exam,,,,,,,17,https://byjus.com/free-ias-prep/railway-protection-force-rpf/,,,,,,,44,https://www.buddy4study.com/scholarship/prime-minister-s-scholarship-scheme-for-rpf-rpsf,5762,Prepp,33100,General,,Prepp-C3
rbi office attendant,1,TOP SITE,02-12-2021,https://opportunities.rbi.org.in/Scripts/resultsnew.aspx,,,45,https://prepp.in/news/e-698-rbi-office-attendant-result-2021-declared-check-selection-list-here,,,,,,,66,https://career.aglasem.com/rbi-office-attendant/,,,,,,,,,,,5763,Prepp,49500,General,,Prepp-C3
bpsc online,1,TOP SITE,02-12-2021,https://onlinebpsc.bihar.gov.in/,,,24,https://prepp.in/bpsc-exam/application-process,,,35,https://news.careers360.com/bpsc-67th-application-form-2021-released-at-bpscbihnicin-apply-for-555-vacancies,,,,,71,https://byjus.com/free-ias-prep/bpsc-preparation/,53,https://www.fresherslive.com/bpsc-bihar-public-service-commission-recruitment,80,https://www.embibe.com/exams/bpsc-recruitment/,,,,,5766,Prepp,27100,General,,Prepp-C3
airmenselection,1,TOP SITE,02-12-2021,https://airmenselection.cdac.in/,,,8,https://prepp.in/news/e-970-air-force-star-1-result-2021-soon-on-airmenselection-cdac-in-iaf-group-x-y-expected-cut-off-here,,,70,https://news.careers360.com/indian-air-force-releases-online-form-for-group-x-y-today-airmenselectioncdacin,,,21,https://career.aglasem.com/indian-air-force-airmen/,,,,,,,,,,,5767,Prepp,33100,General,,Prepp-C3
rajswasthya nic in,1,TOP SITE,02-12-2021,http://rajswasthya.nic.in/,,,,,,,12,https://news.careers360.com/nhm-rajasthan-recruitment-2020-apply-for-6310-posts-wwwrajswasthyanicin,,,,,,,66,https://www.fresherslive.com/competitive-exams/nhm-rajasthan-admit-card-107880,,,,,,,5768,Prepp,1300,General,,Prepp-C3
htet,1,TOP SITE,02-12-2021,https://haryanatet.in/,,,15,https://prepp.in/htet-exam,26,https://www.shiksha.com/exams/htet-exam,55,https://competition.careers360.com/exams/htet,28,https://www.collegedekho.com/articles/htet-exam-dates-online-application-form-eligibility-syllabus/,38,https://hindi.aglasem.com/htet/,,,,,81,https://www.embibe.com/exams/htet/,83,https://leverageedu.com/blog/htet/,,,5769,Prepp,27100,General,,Prepp-C3
boi online,1,TOP SITE,02-12-2021,https://starconnectcbs.bankofindia.com/BankAwayRetail/sgonHttpHandler.aspx?Action.RetUser.Init.001=Y&AppSignonBankId=013&AppType=retail,,,,,,,,,,,,,,,,,,,,,,,5772,Prepp,27100,General,,Prepp-C3
one word substitution,1,TOP SITE,02-12-2021,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,,,34,https://prepp.in/news/e-514-one-word-substitution-quiz-for-ssc-cgl,,,,,,,,,1,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,46,https://www.fresherslive.com/online-test/one-word-substitution-questions-and-answers,,,,,,,5775,Prepp,40500,General,,Prepp-C3
