Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
dream institute of technology,1,TOP SITE,02-12-2021,https://www.dreaminstituteonline.com/,2,https://collegedunia.com/college/13412-dream-institute-of-technology-kolkata/courses-fees,,,3,https://www.shiksha.com/college/dit-dream-institute-of-technology-thakurpukur-kolkata-36659/courses,4,https://www.careers360.com/colleges/dream-institute-of-technology-south-24-parganas,5,https://www.collegedekho.com/colleges/dream-institute-of-technology,,,,,,,,,,,,,,,10662,College,1900,,,College-LS
indira institute of management pune,1,TOP SITE,02-12-2021,https://indiraiimp.edu.in/,4,https://collegedunia.com/college/17920-indira-institute-of-management-iimp-pune/courses-fees,,,2,https://www.shiksha.com/college/indira-institute-of-management-iimp-tathawade-pune-33849,8,https://www.careers360.com/colleges/indira-institute-of-management-pune,25,https://www.collegedekho.com/colleges/indira-institute-of-management-pune,,,72,https://admission.aglasem.com/indira-institute-management/,,,,,,,,,,,10663,College,1900,,,College-LS
niec,1,TOP SITE,02-12-2021,https://adgitmdelhi.ac.in/,4,https://collegedunia.com/college/14513-dr-akhilesh-das-gupta-institute-of-technology-and-management-adgitm-new-delhi,,,5,https://www.shiksha.com/college/dr-akhilesh-das-gupta-institute-of-technology-and-management-formerly-northern-india-engineering-college-shastri-park-delhi-28762,39,https://www.careers360.com/question-i-got-niec-in-ggsipu-in-the-1st-round-and-want-to-upgrade-to-a-good-college-than-niec-in-2-round-without-losing-this-seat,6,https://www.collegedekho.com/colleges/northern-india-engineering-college,,,,,,,,,,,,,,,10666,College,1900,,,College-LS
klay,1,TOP SITE,02-12-2021,https://www.klayschools.com/,,,,,,,,,,,,,,,,,,,,,,,,,10667,College,1900,,,College-LS
institute of public enterprise,1,TOP SITE,02-12-2021,https://www.ipeindia.org/,3,https://collegedunia.com/college/18057-institute-of-public-enterprise-ipe-hyderabad,,,2,https://www.shiksha.com/college/ipe-hyderabad-institute-of-public-enterprise-shamirpet-32277,12,https://www.careers360.com/colleges/institute-of-public-enterprise-hyderabad,10,https://www.collegedekho.com/colleges/ipe,,,,,,,,,,,,,,,10668,College,1900,,,College-LS
Uttarakhand Sanskrit University,1,TOP SITE,02-12-2021,http://usvv.ac.in/,,,,,17,https://www.shiksha.com/university/uttarakhand-sanskrit-university-haridwar-65709/course-m-a-in-yoga-387329,15,https://www.careers360.com/university/uttaranchal-sanskrit-university-haridwar,,,,,20,https://hindi.aglasem.com/uttarakhand-sanskrit-university-bed-hindi/,,,,,,,,,,,10669,College,1900,,,College-LS
Sharnbasva university,1,TOP SITE,02-12-2021,http://sharnbasvauniversity.edu.in/,2,https://collegedunia.com/university/59788-sharnbasva-university-gulbarga,,,4,https://www.shiksha.com/university/sharnbasva-university-gulbarga-60720,9,https://www.careers360.com/university/sharnbasva-university-kalaburagi,76,https://www.collegedekho.com/exam/kcet/cutoff,,,,,,,,,,,,,,,10670,College,1900,,,College-LS
Venkateshwara Open University,1,TOP SITE,02-12-2021,https://vou.ac.in/,3,https://collegedunia.com/university/59288-venkateshwara-open-university-vou-naharlagun,,,4,https://www.shiksha.com/university/venkateshwara-open-university-itanagar-47284,8,https://www.careers360.com/university/venkateshwara-open-university-papum-pare,,,,,,,,,,,,,,,,,10671,College,1900,,,College-LS
sv university tirupati,1,TOP SITE,02-12-2021,https://www.svuniversity.edu.in/,4,https://collegedunia.com/university/25379-sri-venkateswara-university-svu-tirupati,,,2,https://www.shiksha.com/university/svu-sri-venkateswara-university-tirupati-22950,14,https://www.careers360.com/university/sri-venkateswara-university-tirupati/courses,68,https://www.collegedekho.com/colleges/admission-sri-venkateswara-university,,,29,https://colleges.aglasem.com/sri-venkateswara-university-svu-tirupati/home,,,,,,,,,,,10673,College,1900,,,College-LS
GBPIT,1,TOP SITE,02-12-2021,https://www.gbpit.ac.in/,4,https://collegedunia.com/college/59862-g-b-pant-institute-of-technology-gbpit-new-delhi,,,,,67,https://www.careers360.com/colleges/gb-pant-institute-of-technology-new-delhi,6,https://www.collegedekho.com/colleges/g-b-pant-institute-of-technology,,,62,https://hindi.aglasem.com/ncert-8-solution-maths-hindi/,,,,,,,,,,,10674,College,1900,,,College-LS
