,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
21,Marquette University,19,https://collegedunia.com/usa/college/1637-marquette-university-milwaukee,17,https://studyabroad.shiksha.com/usa/universities/marquette-university,,,,,,,,,,,,,12679,Study_Abroad,880,College,,Study_Abroad-College-LS
22,University of Michigan Flint,6,https://collegedunia.com/usa/college/1308-university-of-michigan-flint,3,https://studyabroad.shiksha.com/usa/universities/university-of-michigan-flint,,,,,,,,,,,,,12680,Study_Abroad,880,College,,Study_Abroad-College-LS
23,Creighton University,6,https://collegedunia.com/usa/college/1794-creighton-university-omaha,,,,,,,,,,,,,,,12681,Study_Abroad,880,College,,Study_Abroad-College-LS
24,Alabama State University,15,https://collegedunia.com/usa/college/1662-alabama-state-university-montgomery,4,https://studyabroad.shiksha.com/usa/universities/alabama-state-university,,,25,https://www.collegedekho.com/usa/alabama-state-university/,,,,,,,,,12682,Study_Abroad,880,College,,Study_Abroad-College-LS
25,University of Akron,10,https://collegedunia.com/usa/college/887-university-of-akron-akron,4,https://studyabroad.shiksha.com/usa/universities/the-university-of-akron,,,,,,,,,,,,,12683,Study_Abroad,880,College,,Study_Abroad-College-LS
26,University of Maine,48,https://collegedunia.com/usa/college/1807-university-of-maine-orono/admission,5,https://studyabroad.shiksha.com/usa/universities/university-of-maine,,,,,,,,,,,,,12684,Study_Abroad,880,College,,Study_Abroad-College-LS
27,Loma Linda University,20,https://collegedunia.com/usa/college/1545-loma-linda-university-loma-linda,5,https://studyabroad.shiksha.com/usa/universities/loma-linda-university,,,,,,,,,,,,,12685,Study_Abroad,880,College,,Study_Abroad-College-LS
28,Virginia State University,13,https://collegedunia.com/usa/college/1821-virginia-state-university-petersburg,4,https://studyabroad.shiksha.com/usa/universities/virginia-state-university,,,31,https://www.collegedekho.com/usa/virginia-state-university/,,,,,,,,,12686,Study_Abroad,880,College,,Study_Abroad-College-LS
29,Purdue University Global,20,https://collegedunia.com/usa/college/1444-purdue-university-global-indianapolis,63,https://studyabroad.shiksha.com/usa/universities/purdue-university,,,,,,,,,,,,,12687,Study_Abroad,880,College,,Study_Abroad-College-LS
30,Drew University,13,https://collegedunia.com/usa/college/1581-drew-university-madison,4,https://studyabroad.shiksha.com/usa/universities/drew-university,,,23,https://www.collegedekho.com/usa/drew-university/,,,,,,,,,12688,Study_Abroad,880,College,,Study_Abroad-College-LS
31,University of Scranton,14,https://collegedunia.com/usa/college/2020-university-of-scranton-scranton,5,https://studyabroad.shiksha.com/usa/universities/university-of-scranton,,,,,,,,,,,,,12689,Study_Abroad,880,College,,Study_Abroad-College-LS
32,New Mexico State University,31,https://collegedunia.com/usa/college/1516-new-mexico-state-university-las-cruces,5,https://studyabroad.shiksha.com/usa/universities/new-mexico-state-university,,,,,,,,,,,,,12690,Study_Abroad,880,College,,Study_Abroad-College-LS
33,Yeshiva University,17,https://collegedunia.com/usa/college/1714-yeshiva-university-new-york-city,6,https://studyabroad.shiksha.com/usa/universities/yeshiva-university,,,34,https://www.collegedekho.com/usa/yeshiva-university/,,,,,,,,,12691,Study_Abroad,880,College,,Study_Abroad-College-LS
34,California Lutheran University,22,https://collegedunia.com/usa/college/2118-california-lutheran-university-thousand-oaks,3,https://studyabroad.shiksha.com/usa/universities/california-lutheran-university,,,32,https://www.collegedekho.com/usa/california-lutheran-university/,,,,,,,,,12692,Study_Abroad,880,College,,Study_Abroad-College-LS
35,University of Detroit Mercy,6,https://collegedunia.com/usa/college/1248-university-of-detroit-mercy-detroit,,,,,,,,,,,,,,,12694,Study_Abroad,880,College,,Study_Abroad-College-LS
36,Texas Wesleyan University,17,https://collegedunia.com/usa/college/1322-texas-wesleyan-university-fort-worth,3,https://studyabroad.shiksha.com/usa/universities/texas-wesleyan-university,,,24,https://www.collegedekho.com/usa/texas-wesleyan-university/,,,,,,,,,12695,Study_Abroad,880,College,,Study_Abroad-College-LS
37,Universiti Putra Malaysia,17,https://collegedunia.com/malaysia/college/743-universiti-putra-malaysia-seri-kembangan,10,https://studyabroad.shiksha.com/malaysia/universities/universiti-putra-malaysia,,,,,,,,,,,,,12696,Study_Abroad,720,College,,Study_Abroad-College-LS
38,Universiti Putra Malaysia,18,https://collegedunia.com/malaysia/college/743-universiti-putra-malaysia-seri-kembangan,10,https://studyabroad.shiksha.com/malaysia/universities/universiti-putra-malaysia,,,,,,,,,,,,,12696,Study_Abroad,720,College,,Study_Abroad-College-LS
39,Universiti Putra Malaysia,19,https://collegedunia.com/malaysia/college/743-universiti-putra-malaysia-seri-kembangan/admission,10,https://studyabroad.shiksha.com/malaysia/universities/universiti-putra-malaysia,,,,,,,,,,,,,12696,Study_Abroad,720,College,,Study_Abroad-College-LS
40,Universiti Sains Malaysia,13,https://collegedunia.com/malaysia/college/735-universiti-sains-malaysia-george-town,5,https://studyabroad.shiksha.com/malaysia/universities/universiti-sains-malaysia,,,,,,,,,,,,,12697,Study_Abroad,720,College,,Study_Abroad-College-LS
41,York University fees,6,https://collegedunia.com/canada/college/109-york-university-toronto,5,https://studyabroad.shiksha.com/canada/universities/york-university,,,11,https://www.collegedekho.com/canada/york-university/,,,,,,,,,12699,Study_Abroad,720,College,,Study_Abroad-College-LS
42,National University of Singapore fees,9,https://collegedunia.com/singapore/college/767-national-university-of-singapore-singapore,1,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,,,36,https://www.collegedekho.com/singapore/national-university-of-singapore-institute-of-systems-science/,,,,,70,https://leverageedu.com/blog/ntu-vs-nus/,,,12700,Study_Abroad,720,College,,Study_Abroad-College-LS
