Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
"University of North Carolina, Chapel Hill Admission",1,TOP SITE,06-12-2021,https://gradschool.unc.edu/admissions/,5,https://collegedunia.com/usa/college/1108-university-of-north-carolina-chapel-hill/admission,11,https://studyabroad.shiksha.com/usa/universities/the-university-of-north-carolina-at-chapel-hill,,,,,,,,,,,,,,,11696,Study_Abroad,20,Admission,,Study_Abroad-part_1
University of Waterloo Admission,1,TOP SITE,06-12-2021,https://uwaterloo.ca/admissions/,3,https://collegedunia.com/canada/college/11-university-of-waterloo-waterloo/admission,4,https://studyabroad.shiksha.com/canada/universities/university-of-waterloo,,,13,https://www.collegedekho.com/ae/canada/university-of-waterloo/,,,,,,,6,https://leverageedu.com/universities/university-of-waterloo,,,11697,Study_Abroad,90,Admission,,Study_Abroad-part_1
Providence College Admission,1,TOP SITE,06-12-2021,https://admission.providence.edu/,8,https://collegedunia.com/usa/college/1876-providence-college-providence/admission,47,https://www.shiksha.com/college/providence-womens-college-kozhikode-74531,28,https://www.careers360.com/colleges/providence-womens-college-malaparamba,22,https://www.collegedekho.com/colleges/providence-college-coonoor,,,,,,,,,,,11698,Study_Abroad,0,Admission,,Study_Abroad-part_1
Bowdoin College Admission,1,TOP SITE,06-12-2021,https://www.bowdoin.edu/admissions/,2,https://collegedunia.com/usa/college/1070-bowdoin-college-brunswick/admission,,,,,,,,,,,,,,,,,11700,Study_Abroad,0,Admission,,Study_Abroad-part_1
Dawson College Admission,1,TOP SITE,06-12-2021,https://www.dawsoncollege.qc.ca/admissions/how-to-apply/fall/,2,https://collegedunia.com/canada/college/190-dawson-college-montreal/admission,13,https://studyabroad.shiksha.com/canada/universities-in-dawson-creek,,,,,,,,,,,,,,,11704,Study_Abroad,0,Admission,,Study_Abroad-part_1
University of Utah Admission,1,TOP SITE,06-12-2021,https://admissions.utah.edu/apply/,10,https://collegedunia.com/usa/college/1966-university-of-utah-salt-lake-city/admission,16,https://studyabroad.shiksha.com/usa/universities/the-university-of-utah,,,,,,,,,,,,,,,11705,Study_Abroad,10,Admission,,Study_Abroad-part_1
Pomona College Admission,1,TOP SITE,06-12-2021,https://www.pomona.edu/admissions,9,https://collegedunia.com/usa/college/1161-pomona-college-claremont,,,,,,,,,,,,,,,,,11706,Study_Abroad,0,Admission,,Study_Abroad-part_1
Georgia State University Admission,1,TOP SITE,06-12-2021,https://admissions.gsu.edu/,4,https://collegedunia.com/usa/college/944-georgia-state-university-atlanta/admission,3,https://studyabroad.shiksha.com/usa/universities/georgia-state-university/admissions,,,21,https://www.collegedekho.com/usa/georgia-state-university/,,,,,,,,,,,11707,Study_Abroad,50,Admission,,Study_Abroad-part_1
University of Saskatchewan Admission,1,TOP SITE,06-12-2021,https://www.usask.ca/admission/,3,https://collegedunia.com/canada/college/98-university-of-saskatchewan-saskatoon/admission,4,https://studyabroad.shiksha.com/canada/universities/university-of-saskatchewan/admissions,,,6,https://www.collegedekho.com/canada/university-of-saskatchewan/,,,,,,,,,52,https://admission.buddy4study.com/college/canada-university-of-saskatchewan-saskatoon-1605,11708,Study_Abroad,30,Admission,,Study_Abroad-part_1
Clark Atlanta University Admission,1,TOP SITE,06-12-2021,https://www.cau.edu/apply-admissions/index.html,3,https://collegedunia.com/usa/college/945-clark-atlanta-university-atlanta/admission,90,https://studyabroad.shiksha.com/usa/universities/clark-university,,,,,,,,,,,,,,,11709,Study_Abroad,10,Admission,,Study_Abroad-part_1
