Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
ssc,1,TOP SITE,06-12-2021,https://ssc.nic.in/,,,63,https://prepp.in/ssc-cgl-exam/ssc-cgl-2022,62,https://www.shiksha.com/exams/ssc-cgl-exam,,,,,,,65,https://byjus.com/ssc-exams/ssc-admit-card/,,,,,,,,,5560,Prepp,6120000,Overview,,Prepp-C1
upsc,1,TOP SITE,06-12-2021,https://www.upsc.gov.in/,,,61,https://prepp.in/news/e-835-upsc-geo-scientist-final-result-2021-out-upsc-gov-in-direct-link-here,48,https://www.shiksha.com/exams/ias-exam,73,https://news.careers360.com/upsc-cse-2021-prelims-live-updates-exam-analysis-question-papers-pattern-answer-keys-result-date-cut-off,,,,,11,https://byjus.com/ias/upsc-syllabus/,58,https://www.fresherslive.com/upsc-union-public-service-commission-recruitment,84,https://www.embibe.com/exams/upsc-notification/,92,https://leverageedu.com/blog/hi/%E0%A4%AF%E0%A5%82%E0%A4%AA%E0%A5%80%E0%A4%8F%E0%A4%B8%E0%A4%B8%E0%A5%80-%E0%A4%95%E0%A5%80-%E0%A4%A4%E0%A5%88%E0%A4%AF%E0%A4%BE%E0%A4%B0%E0%A5%80/,,,5561,Prepp,1500000,Overview,,Prepp-C1
kpsc,1,TOP SITE,06-12-2021,http://kpsc.kar.nic.in/,,,22,https://prepp.in/kpsc-exam,,,,,,,,,15,https://byjus.com/free-ias-prep/kpsc-kas-exam-eligibility/,55,https://www.fresherslive.com/competitive-exams/karnataka-psc-admit-card-109079,,,,,,,5562,Prepp,1000000,Overview,,Prepp-C1
rpsc,1,TOP SITE,06-12-2021,https://rpsc.rajasthan.gov.in/,,,21,https://prepp.in/rpsc-exam,34,https://www.shiksha.com/exams/rpsc-ras-exam,64,https://news.careers360.com/rpsc-ras-application-form-2021-last-date-apply-online-for-988-vacancies,,,,,48,https://byjus.com/free-ias-prep/rpsc-ras-exam/,33,https://www.fresherslive.com/rpsc-rajasthan-public-service-commission-recruitment,,,,,,,5563,Prepp,673000,Overview,,Prepp-C1
ibps,1,TOP SITE,06-12-2021,https://ibps.in/,,,27,https://prepp.in/ibps-po-exam,17,https://www.shiksha.com/exams/ibps-po-exam,35,https://news.careers360.com/ibps-po-2021-exam-begins-know-guidelines-and-things-carry-at-exam-centre,,,44,https://news.aglasem.com/ibps-po-2021-postponed-cancelled-amid-cyclone-warning/,16,https://byjus.com/bank-exam/ibps-exam-dates/,,,,,,,,,5564,Prepp,823000,Overview,,Prepp-C1
ukpsc,1,TOP SITE,06-12-2021,https://ukpsc.gov.in/,,,32,https://prepp.in/ukpsc-exam/news,,,,,,,,,,,37,https://www.fresherslive.com/competitive-exams/ukpsc-admit-card-103812,,,,,,,5565,Prepp,165000,Overview,,Prepp-C1
ugc net,1,TOP SITE,06-12-2021,https://ugcnet.nta.nic.in/,,,10,https://prepp.in/cbse-ugc-net-exam,5,https://www.shiksha.com/exams/ugc-net-exam,23,https://competition.careers360.com/articles/ugc-net,22,https://www.collegedekho.com/exam/ugc-net,,,,,,,,,,,,,5566,Prepp,450000,Overview,,Prepp-C1
pspcl,1,TOP SITE,06-12-2021,https://pspcl.in/,,,30,https://prepp.in/pspcl-exam,,,,,,,,,,,56,https://www.fresherslive.com/pspcl-punjab-state-power-corporation-limited-recruitment,,,,,,,5567,Prepp,673000,Overview,,Prepp-C1
ctet,1,TOP SITE,06-12-2021,https://ctet.nic.in/,,,40,https://prepp.in/ctet-exam,12,https://www.shiksha.com/exams/ctet-exam,47,https://competition.careers360.com/exams/ctet,,,53,https://career.aglasem.com/ctet/,,,,,,,65,https://leverageedu.com/blog/ctet/,,,5569,Prepp,550000,Overview,,Prepp-C1
ksp,1,TOP SITE,06-12-2021,http://rec21.ksp-online.in/,,,10,https://prepp.in/karnataka-police-exam/karnataka-police-2022,,,,,,,,,,,22,https://www.fresherslive.com/competitive-exams/ksp-result-103674,39,https://www.embibe.com/exams/ksp-recruitment/,,,,,5571,Prepp,550000,Overview,,Prepp-C1
rsmssb,1,TOP SITE,06-12-2021,https://rsmssb.rajasthan.gov.in/,,,5,https://prepp.in/rsmssb-exam/news,,,,,,,,,,,13,https://www.fresherslive.com/rsmssb-rajasthan-subordinate-and-ministerial-services-selection-board-recruitment,46,https://www.embibe.com/exams/rsmssb-recruitment/,,,,,5572,Prepp,550000,Overview,,Prepp-C1
bpsc,1,TOP SITE,06-12-2021,https://www.bpsc.bih.nic.in/,,,37,https://prepp.in/bpsc-exam,,,,,,,,,38,https://byjus.com/free-ias-prep/bpsc-preparation/,,,,,,,,,5573,Prepp,550000,Overview,,Prepp-C1
rrb,1,TOP SITE,06-12-2021,http://www.rrbcdg.gov.in/,,,68,https://prepp.in/rrb-ntpc-exam,69,https://www.shiksha.com/exams/rrb-ntpc-exam,90,https://news.careers360.com/rrb-ntpc-exam-fee-refund-2021-last-day-apply-at-rrbcdggovin,,,,,62,https://byjus.com/rrb-exams/rrb-result/,,,,,,,,,5574,Prepp,550000,Overview,,Prepp-C1
rrb kolkata,1,TOP SITE,06-12-2021,http://www.rrbkolkata.gov.in/,,,,,46,https://www.shiksha.com/sarkari-exams/railway/articles/rrb-kolkata-ntpc-admit-card-blogId-51705,36,https://competition.careers360.com/articles/rrb-kolkata-je-cut-off,,,7,https://admission.aglasem.com/rrb-kolkata-admit-card/,,,61,https://www.fresherslive.com/rrb-kolkata-railway-recruitment-board-kolkata-recruitment,3,https://www.embibe.com/exams/rrb-kolkata/,,,,,5575,Prepp,165000,Overview,,Prepp-C1
vyapam,1,TOP SITE,06-12-2021,http://peb.mp.gov.in/,,,67,https://prepp.in/news/e-893-cg-vyapam-admit-card-2021-for-mandi-inspector-and-sub-inspector-soon-check-exam-date,68,https://www.shiksha.com/exams/mp-vyapam-exam,,,,,,,,,,,,,,,,,5576,Prepp,368000,Overview,,Prepp-C1
