Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
ias officer salary,1,TOP SITE,06-12-2021,https://www.careerpower.in/ias-salary.html,,,5,https://prepp.in/ias-exam-exam/salary,16,https://www.shiksha.com/exams/ias-exam-salary,10,https://competition.careers360.com/articles/ias-salary,22,https://www.collegedekho.com/careers/ias-officer,,,,,,,8,https://www.embibe.com/exams/upsc-ias-salary/,,,,,5681,Prepp,60500,Salary,,Prepp-C2
post office recruitment,1,TOP SITE,06-12-2021,https://appost.in/gdsonline/home.aspx,,,59,https://prepp.in/india-post-gds-exam,,,,,,,,,,,5,https://www.fresherslive.com/india-post-recruitment,6,https://www.embibe.com/exams/india-post-recruitment/,,,,,5687,Prepp,60500,Recruitment,,Prepp-C2
sbi recruitment,1,TOP SITE,06-12-2021,https://sbi.co.in/hi/web/careers/current-openings,,,21,https://prepp.in/sbi-po-exam/sbi-recruitment-2021,42,https://www.shiksha.com/exams/sbi-exam,,,,,,,26,https://byjus.com/bank-exam/sbi-vacancy/,30,https://www.fresherslive.com/sbi-state-bank-of-india-recruitment,37,https://www.embibe.com/exams/sbi-po-recruitment/,,,,,5691,Prepp,60500,Recruitment,,Prepp-C2
icar result,1,TOP SITE,06-12-2021,https://icar.nta.ac.in/,14,https://collegedunia.com/exams/icar-aieea/results,,,10,https://www.shiksha.com/science/icar-aieea-exam-results,6,https://university.careers360.com/articles/icar-aieea-result,9,https://www.collegedekho.com/exam/icar-aieea/cut-off-results,16,https://admission.aglasem.com/aieea-ug-result/,,,30,https://www.fresherslive.com/education/icar-aieea-result-100893,67,https://www.embibe.com/exams/icar-aieea-result/,,,,,5692,Prepp,18100,Result,,Prepp-C2
ies syllabus,1,TOP SITE,06-12-2021,https://www.careerindia.com/upsc/ies-syllabus-e26.html,,,6,https://prepp.in/ies-exam/syllabus,14,https://www.shiksha.com/exams/ies-exam,46,https://competition.careers360.com/articles/ies-mechanical-engineering-syllabus,,,35,https://career.aglasem.com/ies-syllabus/,31,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,83,https://www.fresherslive.com/articles/ies-syllabus,7,https://www.embibe.com/exams/ies-syllabus/,74,https://leverageedu.com/blog/ies-syllabus/,,,5699,Prepp,8100,Syllabus,,Prepp-C2
mpsc syllabus,1,TOP SITE,06-12-2021,https://mpsc.gov.in/examination_syllabus?m=18,,,6,https://prepp.in/mpsc-exam/syllabus,,,84,https://competition.careers360.com/articles/mpsc-history-syllabus,,,69,https://career.aglasem.com/mpsc-syllabus/,3,https://byjus.com/free-ias-prep/mpsc-syllabus-exam-pattern/,45,https://www.fresherslive.com/competitive-exams/mpsc-syllabus-108688,14,https://www.embibe.com/exams/mpsc-syllabus/,5,https://leverageedu.com/blog/mpsc-syllabus/,,,5701,Prepp,33100,Syllabus,,Prepp-C2
upsc result,1,TOP SITE,06-12-2021,https://www.upsc.gov.in/exams-related-info/final-result,,,26,https://prepp.in/ias-exam-exam/results,21,https://www.shiksha.com/exams/ias-exam-results,34,https://competition.careers360.com/hi/articles/upsc-ias-result,,,,,9,https://byjus.com/free-ias-prep/upsc-results/,,,23,https://www.embibe.com/exams/upsc-result/,,,,,5706,Prepp,40500,Result,,Prepp-C2
ugc net syllabus,1,TOP SITE,06-12-2021,https://www.ugc.ac.in/net/syllabus.aspx,,,9,https://prepp.in/cbse-ugc-net-exam/syllabus,4,https://www.shiksha.com/exams/ugc-net-exam-syllabus,20,https://competition.careers360.com/hi/articles/ugc-net-syllabus,8,https://www.collegedekho.com/exam/ugc-net/syllabus,43,https://docs.aglasem.com/org/nta/ugc-net/syllabus,36,https://byjus.com/cbse/ugc-net-syllabus/,29,https://www.fresherslive.com/education/ugc-net-syllabus-100954,16,https://www.embibe.com/exams/ugc-net-syllabus/,24,https://leverageedu.com/blog/ugc-net-syllabus/,,,5718,Prepp,40500,Syllabus,,Prepp-C2
railway recruitment control board,1,TOP SITE,06-12-2021,http://www.rrcb.gov.in/rrbs.html,,,38,https://prepp.in/rrb-recruitment-exam,32,https://www.shiksha.com/exams/rrb-exam,89,https://www.careers360.com/articles/railway-jobs-after-12th-counar,,,,,54,https://byjus.com/rrb-exams/,49,https://www.fresherslive.com/govt-jobs/railway-recruitment,83,https://www.embibe.com/exams/rrb-kolkata/,,,,,5729,Prepp,40500,Recruitment,,Prepp-C2
rpsc result,1,TOP SITE,06-12-2021,https://www.rpsc.rajasthan.gov.in/resultsearch?Frm=RECT&Pie=IFB_2015_180419,,,,,54,https://www.shiksha.com/news/rpsc-ras-2021-result-released-check-your-result-here-blogId-73387,22,https://competition.careers360.com/hi/articles/rpsc-ras-result,,,,,40,https://byjus.com/free-ias-prep/rpsc-ras-result/,37,https://www.fresherslive.com/articles/rpsc-result,65,https://www.embibe.com/exams/rpsc-result/,,,,,5730,Prepp,18100,Result,,Prepp-C2
