,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
0,bfuhs,7,https://collegedunia.com/university/25774-baba-farid-university-of-health-sciences-bfuhs-faridkot,71,https://prepp.in/news/e-904-bfuhs-recruitment-2021-apply-now-for-staff-nurse-post,13,https://www.shiksha.com/university/baba-farid-university-of-health-sciences-faridkot-58509,20,https://www.careers360.com/university/baba-farid-university-of-health-sciences-faridkot/courses,,,23,https://admission.aglasem.com/baba-farid-university-result/,,,14,https://www.fresherslive.com/bfuhs-baba-farid-university-of-health-sciences-recruitment,84,https://www.embibe.com/exams/bfuhs-result/,,,,,5593,Prepp,246000,Overview,,Prepp-C1
1,ies full form,55,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,13,https://prepp.in/ies-exam,8,https://www.shiksha.com/exams/ies-exam,60,https://competition.careers360.com/articles/upsc-ese-application-form,81,https://www.collegedekho.com/articles/ies-iss-exam/,,,10,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,35,https://www.embibe.com/exams/ies-salary/,80,https://leverageedu.com/blog/ies-exam/,,,5700,Prepp,27100,Full_Form,,Prepp-C1
2,ies full form,55,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,14,https://prepp.in/ies-exam,8,https://www.shiksha.com/exams/ies-exam,60,https://competition.careers360.com/articles/upsc-ese-application-form,81,https://www.collegedekho.com/articles/ies-iss-exam/,,,10,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,35,https://www.embibe.com/exams/ies-salary/,80,https://leverageedu.com/blog/ies-exam/,,,5700,Prepp,27100,Full_Form,,Prepp-C1
3,ies full form,55,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,15,https://prepp.in/news/g-23012-comparison-between-upsc-ies-and-ias-upsc-cse-officer,8,https://www.shiksha.com/exams/ies-exam,60,https://competition.careers360.com/articles/upsc-ese-application-form,81,https://www.collegedekho.com/articles/ies-iss-exam/,,,10,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,35,https://www.embibe.com/exams/ies-salary/,80,https://leverageedu.com/blog/ies-exam/,,,5700,Prepp,27100,Full_Form,,Prepp-C1
4,afcat eligibility,34,https://collegedunia.com/qna/question/5747-what-is-the-eligible-criteria-for-the-afcat-exam,1,https://prepp.in/afcat-exam/eligibility,3,https://www.shiksha.com/sarkari-exams/defence/articles/afcat-eligibility-criteria-blogId-33555,8,https://competition.careers360.com/articles/afcat-eligibility-criteria,7,https://www.collegedekho.com/exam/afcat/registration-eligibility,,,9,https://byjus.com/govt-exams/afcat-eligibility/,84,https://www.fresherslive.com/education/afcat-eligibility-100550,55,https://www.embibe.com/exams/afcat/,88,https://leverageedu.com/blog/afcat-exam/,57,https://exam.buddy4study.com/afcat-eligibility-criteria,5959,Prepp,22200,Eligibility,,Prepp-C1
5,cbt exam,31,https://collegedunia.com/exams/mat/exam-dates,64,https://prepp.in/rrb-ntpc-exam/exam-pattern,36,https://www.shiksha.com/mba/mat-exam-dates,41,https://news.careers360.com/mat-2021-cbt-exam-being-conducted-today-check-guidelines-here,,,,,,,,,,,,,,,6451,Prepp,12100,Overview,,Prepp-C1
6,best book for reasoning,44,https://collegedunia.com/exams/gmat/gmat-books-for-critical-reasoning,17,https://prepp.in/news/e-514-best-books-for-ssc-cgl-logical-reasoning,77,https://www.shiksha.com/law/articles/best-books-for-ilsat-blogId-38121,5,https://www.careers360.com/question-which-is-the-best-basic-book-of-reasoning-for-competitive-exam-like-bankrailwaysbiibpsssc-etc,,,,,80,https://byjus.com/bank-exam/ibps-books/,,,,,6,https://leverageedu.com/blog/logical-reasoning-books/,,,6555,Prepp,6600,Books,,Prepp-C1
7,apprenticeshipindia org registration,65,https://images.static-collegedunia.com/public/image/902855802d095fdb84dd4542059b3865.pdf,,,,,68,https://news.careers360.com/south-east-central-railway-recruitment-2020-apply-for-432-apprentice-posts-apprenticeshipindiaorg,,,,,,,,,,,,,,,6634,Prepp,5400,Application,,Prepp-C1
8,pet exam,50,https://collegedunia.com/exams/bhu-pet,48,https://prepp.in/upsssc-exam/exam-pattern,47,https://www.shiksha.com/b-tech/cg-pet-exam-dates,20,https://engineering.careers360.com/exams/cg-pet,88,https://www.collegedekho.com/exam/cg-pet/how-to-apply,,,,,,,,,,,,,6654,Prepp,49500,Overview,,Prepp-C1
9,pet exam,50,https://collegedunia.com/exams/bhu-pet,48,https://prepp.in/upsssc-exam/exam-pattern,47,https://www.shiksha.com/b-tech/cg-pet-exam-dates,21,https://engineering.careers360.com/exams/cg-pet,88,https://www.collegedekho.com/exam/cg-pet/how-to-apply,,,,,,,,,,,,,6654,Prepp,49500,Overview,,Prepp-C1
