,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
11,blood relation questions,21,https://collegedunia.com/news/e-242-cat-lr-blood-relations-quiz,60,https://prepp.in/news/e-514-blood-relationship-concepts-in-ssc-cgl-reasoning,,,45,https://competition.careers360.com/articles/blood-relation-question,,,,,,,3,https://byjus.com/govt-exams/blood-relations-logical-reasoning/,8,https://www.fresherslive.com/online-questions/verbal-ability-test/blood-relation,,,18,https://leverageedu.com/blog/pu/blood-relations-questions/,,,5929,Prepp,22200,General,,Prepp-C3
12,apprenticeshipindia org,86,https://images.static-collegedunia.com/public/image/902855802d095fdb84dd4542059b3865.pdf,38,https://prepp.in/news/e-839-naps-pspcl-lineman-recruitment-2021-apply-online-for-9-vacancies-apprenticeshipindia-org,,,56,https://news.careers360.com/central-coalfields-limited-recruitment-2020-apply-for-1565-apprentice-posts,,,,,,,,,,,,,,,,,5931,Prepp,27100,General,,Prepp-C3
13,blood relation,73,https://collegedunia.com/news/e-242-cat-lr-blood-relations-quiz,8,https://prepp.in/news/e-514-blood-relationship-concepts-in-ssc-cgl-reasoning,,,40,https://competition.careers360.com/articles/blood-relation-question,,,,,,,2,https://byjus.com/govt-exams/blood-relations-logical-reasoning/,7,https://www.fresherslive.com/online-test/blood-relations-questions-and-answers,,,44,https://leverageedu.com/blog/pu/blood-relations-questions/,,,5991,Prepp,14800,General,,Prepp-C3
14,cse marks entry,80,https://collegedunia.com/exams/gate/computer-science-engineering-pattern,67,https://prepp.in/ias-exam-exam,,,51,https://engineering.careers360.com/articles/gate-cutoff-for-cse,53,https://www.collegedekho.com/articles/gate-cse-marks-vs-rank-vs-score-analysis/,,,,,,,,,,,,,,,5998,Prepp,4400,General,,Prepp-C3
15,vnsgu ac in,8,https://collegedunia.com/news/c-25515-vnsgu-result-admission-form--notification,24,https://prepp.in/news/e-824-vnsgu-recruitment-2021-apply-online-for-52-legal-officer-and-security-guard-posts-vnsguacin,34,https://www.shiksha.com/university/veer-narmad-south-gujarat-university-surat-29852/questions-4?sort_by=relevance,79,https://www.careers360.com/question-registration-link-for-admission-in-vnsgu,,,,,17,https://institutes.aglasem.com/vnsgu-result/,,,22,https://www.fresherslive.com/education/vnsgu-result-107109,61,https://www.embibe.com/exams/vnsgu-result/,,,,,6102,Prepp,14800,General,,Prepp-C3
16,vnsgu ac in,9,https://collegedunia.com/news/c-25515-vnsgu-result-admission-form--notification,24,https://prepp.in/news/e-824-vnsgu-recruitment-2021-apply-online-for-52-legal-officer-and-security-guard-posts-vnsguacin,34,https://www.shiksha.com/university/veer-narmad-south-gujarat-university-surat-29852/questions-4?sort_by=relevance,79,https://www.careers360.com/question-registration-link-for-admission-in-vnsgu,,,,,17,https://institutes.aglasem.com/vnsgu-result/,,,22,https://www.fresherslive.com/education/vnsgu-result-107109,61,https://www.embibe.com/exams/vnsgu-result/,,,,,6102,Prepp,14800,General,,Prepp-C3
17,vnsgu ac in,10,https://collegedunia.com/university/25515-veer-narmad-south-gujarat-university-vnsgu-surat,24,https://prepp.in/news/e-824-vnsgu-recruitment-2021-apply-online-for-52-legal-officer-and-security-guard-posts-vnsguacin,34,https://www.shiksha.com/university/veer-narmad-south-gujarat-university-surat-29852/questions-4?sort_by=relevance,79,https://www.careers360.com/question-registration-link-for-admission-in-vnsgu,,,,,17,https://institutes.aglasem.com/vnsgu-result/,,,22,https://www.fresherslive.com/education/vnsgu-result-107109,61,https://www.embibe.com/exams/vnsgu-result/,,,,,6102,Prepp,14800,General,,Prepp-C3
18,nfsc,5,https://collegedunia.com/college/14441-national-fire-service-college-nfsc-nagpur/admission,82,https://prepp.in/news/e-510-ugc-revises-national-fellowship-for-sc-nfsc-selection-process-for-net-jrf,28,https://www.shiksha.com/college/national-fire-service-college-nagpur-20726/placement,14,https://www.careers360.com/colleges/national-fire-service-college-nagpur,19,https://www.collegedekho.com/colleges/nfsc,,,,,,,,,,,,,21,https://www.buddy4study.com/scholarship/ugc-national-fellowship-for-scheduled-caste-students-nfsc,6111,Prepp,9900,General,,Prepp-C3
19,ese,27,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,29,https://prepp.in/ies-exam,40,https://www.shiksha.com/exams/ies-exam,26,https://news.careers360.com/upsc-ese-application-form-2022-released-at-upscgovin-get-direct-link-here,53,https://www.collegedekho.com/exam/upsc-ies-ese,,,,,,,,,45,https://www.embibe.com/exams/upsc-ese-notification/,,,,,6144,Prepp,14800,General,,Prepp-C3
20,sib online,84,https://collegedunia.com/education-loan/30-south-indian-bank/sib-excellence,47,https://prepp.in/south-indian-bank-po-exam/south-indian-bank-po-2022,,,,,,,,,,,,,,,62,https://www.embibe.com/exams/south-indian-bank-po-admit-card/,,,,,6149,Prepp,9900,General,,Prepp-C3
