,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
760,upsc capf results,,,3,https://prepp.in/upsc-capf-exam/results,18,https://www.shiksha.com/exams/upsc-capf-exam-results,7,https://competition.careers360.com/articles/capf-result,,,28,https://career.aglasem.com/upsc-capf-result/,94,https://byjus.com/upsc-capf/,87,https://www.fresherslive.com/articles/upsc-capf-result,22,https://www.embibe.com/exams/upsc-capf-result/,,,,,7355,Prepp,880,Result,,Prepp-C2
761,IBPS RRB Vacancy,,,5,https://prepp.in/ibps-rrb-exam/vacancy,10,https://www.shiksha.com/exams/ibps-rrb-exam-notification,25,https://news.careers360.com/ibps-rrb-2021-vacancies-revised-again-check-details-here,,,,,61,https://byjus.com/bank-exam/ibps-rrb/,,,21,https://www.embibe.com/exams/ibps-rrb/,,,62,https://exam.buddy4study.com/ibps-rrb-vacancy,7356,Prepp,590,Vacancy,,Prepp-C2
762,IBPS RRB Vacancy,,,5,https://prepp.in/ibps-rrb-exam/vacancy,11,https://www.shiksha.com/exams/ibps-rrb-exam-notification,25,https://news.careers360.com/ibps-rrb-2021-vacancies-revised-again-check-details-here,,,,,61,https://byjus.com/bank-exam/ibps-rrb/,,,21,https://www.embibe.com/exams/ibps-rrb/,,,62,https://exam.buddy4study.com/ibps-rrb-vacancy,7356,Prepp,590,Vacancy,,Prepp-C2
763,IBPS RRB Vacancy,,,5,https://prepp.in/ibps-rrb-exam/vacancy,12,https://www.shiksha.com/exams/ibps-rrb-exam,25,https://news.careers360.com/ibps-rrb-2021-vacancies-revised-again-check-details-here,,,,,61,https://byjus.com/bank-exam/ibps-rrb/,,,21,https://www.embibe.com/exams/ibps-rrb/,,,62,https://exam.buddy4study.com/ibps-rrb-vacancy,7356,Prepp,590,Vacancy,,Prepp-C2
764,ugc net preparation,,,4,https://prepp.in/cbse-ugc-net-exam/preparation-tips,5,https://www.shiksha.com/exams/ugc-net-exam-preparation,8,https://competition.careers360.com/articles/how-to-prepare-for-ugc-net,12,https://www.collegedekho.com/exam/ugc-net/how-to-prepare,85,https://news.aglasem.com/ugc-net-admit-card-2021-release-date-know-when-will-ugc-release-net-hall-ticket-for-new-exam-dates/,65,https://byjus.com/cbse/ugc-net-preparation-app/,,,21,https://www.embibe.com/exams/ugc-net-books/,25,https://leverageedu.com/blog/ugc-net-syllabus/,,,7358,Prepp,590,Preparation,,Prepp-C2
765,NTSE preparation,,,15,https://prepp.in/ntse-exam/books,1,https://www.shiksha.com/exams/ntse-exam-preparation,11,https://school.careers360.com/articles/ntse-preparation,6,https://www.collegedekho.com/exam/ntse/how-to-prepare,56,https://schools.aglasem.com/63275,36,https://byjus.com/jee/ntse-exam/,,,3,https://www.embibe.com/exams/ntse-preparation/,,,41,https://exam.buddy4study.com/ntse-syllabus,7360,Prepp,590,Preparation,,Prepp-C2
766,NTSE preparation,,,15,https://prepp.in/ntse-exam/books,1,https://www.shiksha.com/exams/ntse-exam-preparation,12,https://school.careers360.com/articles/ntse-preparation,6,https://www.collegedekho.com/exam/ntse/how-to-prepare,56,https://schools.aglasem.com/63275,36,https://byjus.com/jee/ntse-exam/,,,3,https://www.embibe.com/exams/ntse-preparation/,,,41,https://exam.buddy4study.com/ntse-syllabus,7360,Prepp,590,Preparation,,Prepp-C2
767,NTSE preparation,,,15,https://prepp.in/ntse-exam/books,1,https://www.shiksha.com/exams/ntse-exam-preparation,13,https://school.careers360.com/articles/best-books-for-ntse,6,https://www.collegedekho.com/exam/ntse/how-to-prepare,56,https://schools.aglasem.com/63275,36,https://byjus.com/jee/ntse-exam/,,,3,https://www.embibe.com/exams/ntse-preparation/,,,41,https://exam.buddy4study.com/ntse-syllabus,7360,Prepp,590,Preparation,,Prepp-C2
768,NTSE preparation,,,15,https://prepp.in/ntse-exam/books,2,https://www.shiksha.com/exams/ntse-exam-preparation,11,https://school.careers360.com/articles/ntse-preparation,6,https://www.collegedekho.com/exam/ntse/how-to-prepare,56,https://schools.aglasem.com/63275,36,https://byjus.com/jee/ntse-exam/,,,3,https://www.embibe.com/exams/ntse-preparation/,,,41,https://exam.buddy4study.com/ntse-syllabus,7360,Prepp,590,Preparation,,Prepp-C2
769,NTSE preparation,,,15,https://prepp.in/ntse-exam/books,2,https://www.shiksha.com/exams/ntse-exam-preparation,12,https://school.careers360.com/articles/ntse-preparation,6,https://www.collegedekho.com/exam/ntse/how-to-prepare,56,https://schools.aglasem.com/63275,36,https://byjus.com/jee/ntse-exam/,,,3,https://www.embibe.com/exams/ntse-preparation/,,,41,https://exam.buddy4study.com/ntse-syllabus,7360,Prepp,590,Preparation,,Prepp-C2
770,NTSE preparation,,,15,https://prepp.in/ntse-exam/books,2,https://www.shiksha.com/exams/ntse-exam-preparation,13,https://school.careers360.com/articles/best-books-for-ntse,6,https://www.collegedekho.com/exam/ntse/how-to-prepare,56,https://schools.aglasem.com/63275,36,https://byjus.com/jee/ntse-exam/,,,3,https://www.embibe.com/exams/ntse-preparation/,,,41,https://exam.buddy4study.com/ntse-syllabus,7360,Prepp,590,Preparation,,Prepp-C2
771,mpsc preparation,,,1,https://prepp.in/mpsc-exam/preparation-tips,84,https://ask.shiksha.com/which-is-the-best-coaching-institute-for-mpsc-preparation-in-maharashtra-qna-4147342,22,https://competition.careers360.com/articles/how-prepare-for-mpsc,,,86,https://news.aglasem.com/mpsc-combine-advertisement-2021-released-for-666-vacancies-aso-sti-psi-exam-on-26-feb-2022/,4,https://byjus.com/free-ias-prep/mpsc-preparation/,,,,,47,https://leverageedu.com/blog/mpsc-book-list/,,,7362,Prepp,390,Preparation,,Prepp-C2
772,kas previous year question papers,,,36,https://prepp.in/karnataka-police-exam/practice-papers,19,https://www.shiksha.com/exams/kas-exam-question-papers,31,https://competition.careers360.com/articles/kas-question-papers,,,71,https://career.aglasem.com/kas-2020-question-paper/,4,https://byjus.com/free-ias-prep/kpsc-kas-exam-previous-years-question-papers/,,,,,,,,,7365,Prepp,590,Question_Paper,,Prepp-C2
773,jpsc results,,,13,https://prepp.in/jpsc-exam/results,,,102,https://news.careers360.com/jpsc-assistant-engineer-result-2019-20-declared-check-here,,,19,https://news.aglasem.com/jpsc-revised-answer-key-2021-released-check-expected-result-date-and-past-5-year-cut-offs/,18,https://byjus.com/free-ias-prep/jpsc-result/,7,https://www.fresherslive.com/competitive-exams/jpsc-result-103747,72,https://www.embibe.com/exams/jpsc-result-announced-at-jpsc-gov-in-nearly-326-qualified-in-jpsc-6-exam/,,,,,7368,Prepp,480,Result,,Prepp-C2
774,PNB SO results,,,2,https://prepp.in/pnb-so-exam/results,,,,,,,6,https://career.aglasem.com/pnb-so-result/,,,19,https://www.fresherslive.com/competitive-exams/punjab-national-bank-result-109770,68,https://www.embibe.com/exams/pnb-recruitment/,,,,,7369,Prepp,590,Result,,Prepp-C2
775,barc previous year question paper,,,1,https://prepp.in/barc-recruitment-exam/practice-papers,,,58,https://www.careers360.com/question-barc-oces-physics-previous-year-papers,,,30,https://career.aglasem.com/barc-previous-year-question-paper/,,,15,https://www.fresherslive.com/education/barc-previous-year-question-papers-112061,,,,,,,7371,Prepp,1000,Question_Paper,,Prepp-C2
776,gpsc previous year paper,,,3,https://prepp.in/gpsc-exam/practice-papers,,,,,,,,,84,https://byjus.com/free-ias-prep/gpsc-syllabus/,10,https://www.fresherslive.com/competitive-exams/gpsc-previous-question-papers-109582,,,,,,,7372,Prepp,720,Question_Paper,,Prepp-C2
777,pspcl vacancy,,,5,https://prepp.in/pspcl-exam,,,,,,,76,https://career.aglasem.com/pspcl-recruitment/,,,16,https://www.fresherslive.com/pspcl-punjab-state-power-corporation-limited-recruitment,,,,,,,7373,Prepp,590,Vacancy,,Prepp-C2
778,ssc stenographer vacancy,,,3,https://prepp.in/ssc-stenographer-exam,6,https://www.shiksha.com/exams/ssc-stenographer-exam,81,https://competition.careers360.com/articles/ssc-stenographer-selection-process,,,39,https://career.aglasem.com/ssc-stenographer/,,,88,https://www.fresherslive.com/articles/ssc-stenographer-eligibility-criteria,76,https://www.embibe.com/exams/ssc-stenographer/,,,,,7376,Prepp,880,Vacancy,,Prepp-C2
