,city_id,city,Montreal,Vancouver,Toronto,Ottawa,Quebec City
0,136,Toronto,540.577,4206.392,0.0,449.20599999999996,805.346
1,51,Kitchener,632.879,4123.977,108.11399999999999,490.159,897.648
2,139,Vancouver,4569.696,0.0,4206.681,4374.509,4819.781
3,33,Edmonton,3582.821,1159.3319999999999,3299.966,3454.026,3829.671
4,67,Montreal,0.0,4570.492,541.581,198.187,255.357
5,76,North York,531.805,4204.891,24.059,440.435,796.575
6,146,Waterloo,637.347,4128.445,112.58200000000001,494.62800000000004,902.117
7,115,Sarnia,817.587,3919.5170000000003,290.064,674.867,1082.356
8,15,Calgary,3526.9390000000003,972.71,3238.261,3331.752,3851.7940000000003
9,61,London,719.627,4018.866,192.104,576.908,984.3960000000001
10,42,Hamilton,608.211,4143.316,68.704,516.84,872.98
11,81,Ottawa,198.373,4374.685,449.67800000000005,0.0,448.457
12,151,Windsor,896.35,3994.167,368.827,753.63,1161.119
13,77,Oakville,577.019,4170.603,38.385,485.648,841.788
14,41,Halifax,1241.632,5806.456999999999,1793.308,1434.152,1018.872
15,14,Burnaby,4558.484,12.91,4195.468,4363.295999999999,4808.568
16,10,Barrie,620.751,4270.073,114.18,415.986,885.5210000000001
17,116,Saskatoon,3061.5890000000004,1561.487,2779.643,2932.7929999999997,3308.4390000000003
